idx,0,LOG_TIME,2024-01-13T21:28:15,2024-01-13T15:28:15,-,-
idx,1,LOG_TIME,2024-01-13T21:28:16,2024-01-13T15:28:16,-,-
idx,2,LOG_TIME,2024-01-13T21:28:17,2024-01-13T15:28:17,-,-
idx,3,LOG_TIME,2024-01-13T21:28:18,2024-01-13T15:28:18,-,-
idx,4,LOG_TIME,2024-01-13T21:28:19,2024-01-13T15:28:19,-,-
idx,5,LOG_TIME,2024-01-13T21:28:20,2024-01-13T15:28:20,-,-
idx,6,LOG_TIME,2024-01-13T21:28:21,2024-01-13T15:28:21,-,-
idx,7,LOG_TIME,2024-01-13T21:28:23,2024-01-13T15:28:23,-,-
idx,8,LOG_TIME,2024-01-13T21:28:24,2024-01-13T15:28:24,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,1s
idx,9,LOG_TIME,2024-01-13T21:28:25,2024-01-13T15:28:25,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,2s
idx,10,LOG_TIME,2024-01-13T21:28:26,2024-01-13T15:28:26,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,3s
idx,11,LOG_TIME,2024-01-13T21:28:27,2024-01-13T15:28:27,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,4s
idx,12,LOG_TIME,2024-01-13T21:28:28,2024-01-13T15:28:28,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,5s
idx,13,LOG_TIME,2024-01-13T21:28:29,2024-01-13T15:28:29,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,6s
idx,14,LOG_TIME,2024-01-13T21:28:30,2024-01-13T15:28:30,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,7s
