idx,0,LOG_TIME,2023-09-20T04:28:22,2023-09-19T23:28:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,1,LOG_TIME,2023-09-20T04:28:23,2023-09-19T23:28:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,2,LOG_TIME,2023-09-20T04:28:24,2023-09-19T23:28:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,3,LOG_TIME,2023-09-20T04:28:25,2023-09-19T23:28:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,4,LOG_TIME,2023-09-20T04:28:26,2023-09-19T23:28:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,5,LOG_TIME,2023-09-20T04:28:27,2023-09-19T23:28:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,6,LOG_TIME,2023-09-20T04:28:28,2023-09-19T23:28:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,7,LOG_TIME,2023-09-20T04:28:29,2023-09-19T23:28:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,8,LOG_TIME,2023-09-20T04:28:30,2023-09-19T23:28:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,295m,3%,638Mi,8%,
kind-worker,55m,0%,276Mi,3%,
idx,9,LOG_TIME,2023-09-20T04:28:32,2023-09-19T23:28:32,-
