idx,0,LOG_TIME,2023-09-15T20:01:44,2023-09-15T15:01:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,1136Mi,14%,
kind-worker,46m,0%,667Mi,8%,
kind-worker2,64m,0%,633Mi,7%,
kind-worker3,52m,0%,632Mi,7%,
idx,1,LOG_TIME,2023-09-15T20:01:45,2023-09-15T15:01:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,1136Mi,14%,
kind-worker,46m,0%,667Mi,8%,
kind-worker2,64m,0%,633Mi,7%,
kind-worker3,52m,0%,632Mi,7%,
idx,2,LOG_TIME,2023-09-15T20:01:46,2023-09-15T15:01:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,1136Mi,14%,
kind-worker,46m,0%,667Mi,8%,
kind-worker2,64m,0%,633Mi,7%,
kind-worker3,52m,0%,632Mi,7%,
idx,3,LOG_TIME,2023-09-15T20:01:47,2023-09-15T15:01:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,1136Mi,14%,
kind-worker,46m,0%,667Mi,8%,
kind-worker2,64m,0%,633Mi,7%,
kind-worker3,52m,0%,632Mi,7%,
idx,4,LOG_TIME,2023-09-15T20:01:48,2023-09-15T15:01:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,1136Mi,14%,
kind-worker,46m,0%,667Mi,8%,
kind-worker2,64m,0%,633Mi,7%,
kind-worker3,52m,0%,632Mi,7%,
idx,5,LOG_TIME,2023-09-15T20:01:49,2023-09-15T15:01:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,1136Mi,14%,
kind-worker,46m,0%,667Mi,8%,
kind-worker2,64m,0%,633Mi,7%,
kind-worker3,52m,0%,632Mi,7%,
idx,6,LOG_TIME,2023-09-15T20:01:50,2023-09-15T15:01:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,7,LOG_TIME,2023-09-15T20:01:51,2023-09-15T15:01:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,8,LOG_TIME,2023-09-15T20:01:52,2023-09-15T15:01:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,9,LOG_TIME,2023-09-15T20:01:53,2023-09-15T15:01:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,10,LOG_TIME,2023-09-15T20:01:54,2023-09-15T15:01:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,11,LOG_TIME,2023-09-15T20:01:55,2023-09-15T15:01:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,12,LOG_TIME,2023-09-15T20:01:56,2023-09-15T15:01:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,13,LOG_TIME,2023-09-15T20:01:57,2023-09-15T15:01:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,14,LOG_TIME,2023-09-15T20:01:58,2023-09-15T15:01:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,328m,4%,791Mi,9%,
kind-worker,56m,0%,305Mi,3%,
kind-worker2,69m,0%,284Mi,3%,
kind-worker3,55m,0%,280Mi,3%,
idx,15,LOG_TIME,2023-09-15T20:01:59,2023-09-15T15:01:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,16,LOG_TIME,2023-09-15T20:02:00,2023-09-15T15:02:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,17,LOG_TIME,2023-09-15T20:02:01,2023-09-15T15:02:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,18,LOG_TIME,2023-09-15T20:02:02,2023-09-15T15:02:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,19,LOG_TIME,2023-09-15T20:02:03,2023-09-15T15:02:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,20,LOG_TIME,2023-09-15T20:02:04,2023-09-15T15:02:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,21,LOG_TIME,2023-09-15T20:02:05,2023-09-15T15:02:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,22,LOG_TIME,2023-09-15T20:02:06,2023-09-15T15:02:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,23,LOG_TIME,2023-09-15T20:02:07,2023-09-15T15:02:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,24,LOG_TIME,2023-09-15T20:02:09,2023-09-15T15:02:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1081m,13%,794Mi,9%,
kind-worker,33m,0%,306Mi,3%,
kind-worker2,57m,0%,281Mi,3%,
kind-worker3,184m,2%,303Mi,3%,
idx,25,LOG_TIME,2023-09-15T20:02:10,2023-09-15T15:02:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,26,LOG_TIME,2023-09-15T20:02:11,2023-09-15T15:02:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,27,LOG_TIME,2023-09-15T20:02:12,2023-09-15T15:02:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,28,LOG_TIME,2023-09-15T20:02:13,2023-09-15T15:02:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,29,LOG_TIME,2023-09-15T20:02:14,2023-09-15T15:02:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,30,LOG_TIME,2023-09-15T20:02:15,2023-09-15T15:02:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
