idx,0,LOG_TIME,2023-09-19T07:43:43,2023-09-19T02:43:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,442m,5%,831Mi,10%,
kind-worker,46m,0%,313Mi,3%,
kind-worker2,56m,0%,310Mi,3%,
kind-worker3,41m,0%,643Mi,8%,
idx,1,LOG_TIME,2023-09-19T07:43:44,2023-09-19T02:43:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,442m,5%,831Mi,10%,
kind-worker,46m,0%,313Mi,3%,
kind-worker2,56m,0%,310Mi,3%,
kind-worker3,41m,0%,643Mi,8%,
idx,2,LOG_TIME,2023-09-19T07:43:45,2023-09-19T02:43:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,442m,5%,831Mi,10%,
kind-worker,46m,0%,313Mi,3%,
kind-worker2,56m,0%,310Mi,3%,
kind-worker3,41m,0%,643Mi,8%,
idx,3,LOG_TIME,2023-09-19T07:43:46,2023-09-19T02:43:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,442m,5%,831Mi,10%,
kind-worker,46m,0%,313Mi,3%,
kind-worker2,56m,0%,310Mi,3%,
kind-worker3,41m,0%,643Mi,8%,
idx,4,LOG_TIME,2023-09-19T07:43:47,2023-09-19T02:43:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,442m,5%,831Mi,10%,
kind-worker,46m,0%,313Mi,3%,
kind-worker2,56m,0%,310Mi,3%,
kind-worker3,41m,0%,643Mi,8%,
idx,5,LOG_TIME,2023-09-19T07:43:48,2023-09-19T02:43:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,442m,5%,831Mi,10%,
kind-worker,46m,0%,313Mi,3%,
kind-worker2,56m,0%,310Mi,3%,
kind-worker3,41m,0%,643Mi,8%,
idx,6,LOG_TIME,2023-09-19T07:43:49,2023-09-19T02:43:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,7,LOG_TIME,2023-09-19T07:43:50,2023-09-19T02:43:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,8,LOG_TIME,2023-09-19T07:43:51,2023-09-19T02:43:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,9,LOG_TIME,2023-09-19T07:43:52,2023-09-19T02:43:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,10,LOG_TIME,2023-09-19T07:43:53,2023-09-19T02:43:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,11,LOG_TIME,2023-09-19T07:43:54,2023-09-19T02:43:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,12,LOG_TIME,2023-09-19T07:43:55,2023-09-19T02:43:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,13,LOG_TIME,2023-09-19T07:43:56,2023-09-19T02:43:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,722m,9%,832Mi,10%,
kind-worker,38m,0%,306Mi,3%,
kind-worker2,50m,0%,308Mi,3%,
kind-worker3,178m,2%,304Mi,3%,
idx,14,LOG_TIME,2023-09-19T07:43:57,2023-09-19T02:43:57,-
