idx,0,LOG_TIME,2023-09-19T07:43:43,2023-09-19T02:43:43
idx,1,LOG_TIME,2023-09-19T07:43:44,2023-09-19T02:43:44
idx,2,LOG_TIME,2023-09-19T07:43:45,2023-09-19T02:43:45
idx,3,LOG_TIME,2023-09-19T07:43:46,2023-09-19T02:43:46
idx,4,LOG_TIME,2023-09-19T07:43:47,2023-09-19T02:43:47
idx,5,LOG_TIME,2023-09-19T07:43:48,2023-09-19T02:43:48
idx,6,LOG_TIME,2023-09-19T07:43:49,2023-09-19T02:43:49
idx,7,LOG_TIME,2023-09-19T07:43:50,2023-09-19T02:43:50
idx,8,LOG_TIME,2023-09-19T07:43:51,2023-09-19T02:43:51
idx,9,LOG_TIME,2023-09-19T07:43:52,2023-09-19T02:43:52
idx,10,LOG_TIME,2023-09-19T07:43:53,2023-09-19T02:43:53
idx,11,LOG_TIME,2023-09-19T07:43:54,2023-09-19T02:43:54
idx,12,LOG_TIME,2023-09-19T07:43:55,2023-09-19T02:43:55
idx,13,LOG_TIME,2023-09-19T07:43:56,2023-09-19T02:43:56
idx,14,LOG_TIME,2023-09-19T07:43:57,2023-09-19T02:43:57
idx,15,LOG_TIME,2023-09-19T07:43:58,2023-09-19T02:43:58
idx,16,LOG_TIME,2023-09-19T07:43:59,2023-09-19T02:43:59
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,17,LOG_TIME,2023-09-19T07:44:00,2023-09-19T02:44:00
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,18,LOG_TIME,2023-09-19T07:44:01,2023-09-19T02:44:01
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,19,LOG_TIME,2023-09-19T07:44:02,2023-09-19T02:44:02
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,20,LOG_TIME,2023-09-19T07:44:03,2023-09-19T02:44:03
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,21,LOG_TIME,2023-09-19T07:44:04,2023-09-19T02:44:04
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,22,LOG_TIME,2023-09-19T07:44:05,2023-09-19T02:44:05
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,23,LOG_TIME,2023-09-19T07:44:06,2023-09-19T02:44:06
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,24,LOG_TIME,2023-09-19T07:44:07,2023-09-19T02:44:07
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,25,LOG_TIME,2023-09-19T07:44:08,2023-09-19T02:44:08
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,26,LOG_TIME,2023-09-19T07:44:09,2023-09-19T02:44:10
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,27,LOG_TIME,2023-09-19T07:44:11,2023-09-19T02:44:11
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,28,LOG_TIME,2023-09-19T07:44:12,2023-09-19T02:44:12
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,29,LOG_TIME,2023-09-19T07:44:13,2023-09-19T02:44:13
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,30,LOG_TIME,2023-09-19T07:44:14,2023-09-19T02:44:14
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,31,LOG_TIME,2023-09-19T07:44:15,2023-09-19T02:44:15
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,32,LOG_TIME,2023-09-19T07:44:16,2023-09-19T02:44:16
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,33,LOG_TIME,2023-09-19T07:44:17,2023-09-19T02:44:17
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,34,LOG_TIME,2023-09-19T07:44:18,2023-09-19T02:44:18
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,92m,19Mi,
idx,35,LOG_TIME,2023-09-19T07:44:19,2023-09-19T02:44:19
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,101m,19Mi,
h1-app-5864579b49-msp59,71m,19Mi,
h1-app-5864579b49-nbrmd,69m,19Mi,
idx,36,LOG_TIME,2023-09-19T07:44:20,2023-09-19T02:44:20
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,101m,19Mi,
h1-app-5864579b49-msp59,71m,19Mi,
h1-app-5864579b49-nbrmd,69m,19Mi,
idx,37,LOG_TIME,2023-09-19T07:44:21,2023-09-19T02:44:21
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,101m,19Mi,
h1-app-5864579b49-msp59,71m,19Mi,
h1-app-5864579b49-nbrmd,69m,19Mi,
idx,38,LOG_TIME,2023-09-19T07:44:22,2023-09-19T02:44:22
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,101m,19Mi,
h1-app-5864579b49-msp59,71m,19Mi,
h1-app-5864579b49-nbrmd,69m,19Mi,
idx,39,LOG_TIME,2023-09-19T07:44:23,2023-09-19T02:44:23
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-cmsb6,101m,19Mi,
h1-app-5864579b49-msp59,71m,19Mi,
