command,keyword,start_cdt,start_utc,end_cdt,end_utc
kubectl label nodes kind-worker zone=A,label node,2023-07-15T21:15:09,2023-07-16T02:15:09,-,-
kubectl label nodes kind-worker2 zone=A,label node,2023-07-15T21:15:09,2023-07-16T02:15:09,-,-
kubectl label nodes kind-worker3 zone=B,label node,2023-07-15T21:15:09,2023-07-16T02:15:09,-,-
kubectl label nodes kind-worker node=1,label node,2023-07-15T21:15:09,2023-07-16T02:15:09,-,-
kubectl label nodes kind-worker2 node=2,label node,2023-07-15T21:15:09,2023-07-16T02:15:09,-,-
kubectl label nodes kind-worker3 node=3,label node,2023-07-15T21:15:09,2023-07-16T02:15:09,2023-07-15T21:15:10,2023-07-16T02:15:10
kubectl apply -f deploy_h1-app.yaml,apply h1-app deployment,2023-07-15T21:15:15,2023-07-16T02:15:15,2023-07-15T21:15:15,2023-07-16T02:15:15
kubectl autoscale deployment h1-app --cpu-percent=50 --min=1 --max=6,deploy autoscaler,2023-07-15T21:15:20,2023-07-16T02:15:20,2023-07-15T21:15:20,2023-07-16T02:15:20
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-07-15T21:15:25,2023-07-16T02:15:25,2023-07-15T21:15:25,2023-07-16T02:15:25
pkill -f python3 logging_start.py,stop logging_start.py,2023-07-15T21:18:45,2023-07-16T02:18:45,2023-07-15T21:18:45,2023-07-16T02:18:45
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-07-15T21:18:50,2023-07-16T02:18:50,2023-07-15T21:19:01,2023-07-16T02:19:01
kubectl delete deploy/h1-app,delete h1-app deployment,2023-07-15T21:19:11,2023-07-16T02:19:11,2023-07-15T21:19:11,2023-07-16T02:19:11
kubectl delete hpa/h1-app,delete hpa,2023-07-15T21:19:12,2023-07-16T02:19:12,2023-07-15T21:19:13,2023-07-16T02:19:13
kubectl label --overwrite nodes kind-worker zone-,remove node label,2023-07-15T21:19:14,2023-07-16T02:19:14,-,-
kubectl label --overwrite nodes kind-worker2 zone-,remove node label,2023-07-15T21:19:14,2023-07-16T02:19:14,-,-
kubectl label --overwrite nodes kind-worker3 zone-,remove node label,2023-07-15T21:19:14,2023-07-16T02:19:14,-,-
kubectl label --overwrite nodes kind-worker node-,remove node label,2023-07-15T21:19:14,2023-07-16T02:19:14,-,-
kubectl label --overwrite nodes kind-worker2 node-,remove node label,2023-07-15T21:19:14,2023-07-16T02:19:14,-,-
kubectl label --overwrite nodes kind-worker3 node-,remove node label,2023-07-15T21:19:14,2023-07-16T02:19:14,2023-07-15T21:19:15,2023-07-16T02:19:15
