idx,0,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,1,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,2,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,3,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,4,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,5,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,6,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,7,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,1308Mi,16%,
kind-worker,41m,0%,351Mi,4%,
kind-worker2,50m,0%,274Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,8,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,9,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,10,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,11,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,12,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,13,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,14,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,15,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,16,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,17,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,18,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,19,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
