idx,0,LOG_TIME,2023-09-19T08:13:22,2023-09-19T03:13:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,1,LOG_TIME,2023-09-19T08:13:23,2023-09-19T03:13:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,2,LOG_TIME,2023-09-19T08:13:24,2023-09-19T03:13:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,3,LOG_TIME,2023-09-19T08:13:25,2023-09-19T03:13:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,4,LOG_TIME,2023-09-19T08:13:26,2023-09-19T03:13:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,5,LOG_TIME,2023-09-19T08:13:27,2023-09-19T03:13:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,6,LOG_TIME,2023-09-19T08:13:28,2023-09-19T03:13:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,318m,3%,817Mi,10%,
kind-worker,51m,0%,342Mi,4%,
kind-worker2,56m,0%,328Mi,4%,
kind-worker3,51m,0%,322Mi,4%,
idx,7,LOG_TIME,2023-09-19T08:13:29,2023-09-19T03:13:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,8,LOG_TIME,2023-09-19T08:13:30,2023-09-19T03:13:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,9,LOG_TIME,2023-09-19T08:13:31,2023-09-19T03:13:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,10,LOG_TIME,2023-09-19T08:13:33,2023-09-19T03:13:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,11,LOG_TIME,2023-09-19T08:13:34,2023-09-19T03:13:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,12,LOG_TIME,2023-09-19T08:13:35,2023-09-19T03:13:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,13,LOG_TIME,2023-09-19T08:13:36,2023-09-19T03:13:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,14,LOG_TIME,2023-09-19T08:13:37,2023-09-19T03:13:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,15,LOG_TIME,2023-09-19T08:13:38,2023-09-19T03:13:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,551m,6%,814Mi,10%,
kind-worker,50m,0%,341Mi,4%,
kind-worker2,62m,0%,277Mi,3%,
kind-worker3,49m,0%,321Mi,4%,
idx,16,LOG_TIME,2023-09-19T08:13:39,2023-09-19T03:13:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1152m,14%,823Mi,10%,
kind-worker,146m,1%,351Mi,4%,
kind-worker2,165m,2%,289Mi,3%,
kind-worker3,172m,2%,334Mi,4%,
idx,17,LOG_TIME,2023-09-19T08:13:40,2023-09-19T03:13:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1152m,14%,823Mi,10%,
kind-worker,146m,1%,351Mi,4%,
kind-worker2,165m,2%,289Mi,3%,
kind-worker3,172m,2%,334Mi,4%,
