idx,0,LOG_TIME,2023-05-11T06:13:15,2023-05-11T06:13:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,373m,4%,1381Mi,17%,
kind-worker,50m,0%,308Mi,3%,
kind-worker2,53m,0%,371Mi,4%,
kind-worker3,40m,0%,312Mi,3%,
idx,1,LOG_TIME,2023-05-11T06:13:16,2023-05-11T01:13:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,373m,4%,1381Mi,17%,
kind-worker,50m,0%,308Mi,3%,
kind-worker2,53m,0%,371Mi,4%,
kind-worker3,40m,0%,312Mi,3%,
idx,2,LOG_TIME,2023-05-11T06:13:17,2023-05-11T01:13:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,373m,4%,1381Mi,17%,
kind-worker,50m,0%,308Mi,3%,
kind-worker2,53m,0%,371Mi,4%,
kind-worker3,40m,0%,312Mi,3%,
idx,3,LOG_TIME,2023-05-11T01:13:18,2023-05-11T01:13:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,373m,4%,1381Mi,17%,
kind-worker,50m,0%,308Mi,3%,
kind-worker2,53m,0%,371Mi,4%,
kind-worker3,40m,0%,312Mi,3%,
idx,4,LOG_TIME,2023-05-11T06:13:19,2023-05-11T01:13:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,373m,4%,1381Mi,17%,
kind-worker,50m,0%,308Mi,3%,
kind-worker2,53m,0%,371Mi,4%,
kind-worker3,40m,0%,312Mi,3%,
idx,5,LOG_TIME,2023-05-11T06:13:20,2023-05-11T01:13:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,373m,4%,1381Mi,17%,
kind-worker,50m,0%,308Mi,3%,
kind-worker2,53m,0%,371Mi,4%,
kind-worker3,40m,0%,312Mi,3%,
idx,6,LOG_TIME,2023-05-11T01:13:21,2023-05-11T01:13:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,7,LOG_TIME,2023-05-11T06:13:22,2023-05-11T01:13:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,8,LOG_TIME,2023-05-11T01:13:23,2023-05-11T01:13:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,9,LOG_TIME,2023-05-11T06:13:24,2023-05-11T01:13:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,10,LOG_TIME,2023-05-11T06:13:25,2023-05-11T01:13:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,11,LOG_TIME,2023-05-11T01:13:26,2023-05-11T01:13:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,12,LOG_TIME,2023-05-11T06:13:27,2023-05-11T01:13:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,13,LOG_TIME,2023-05-11T06:13:28,2023-05-11T01:13:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,14,LOG_TIME,2023-05-11T01:13:30,2023-05-11T01:13:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,15,LOG_TIME,2023-05-11T01:13:31,2023-05-11T01:13:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,358m,4%,1384Mi,17%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,55m,0%,370Mi,4%,
kind-worker3,34m,0%,312Mi,3%,
idx,16,LOG_TIME,2023-05-11T06:13:32,2023-05-11T01:13:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,17,LOG_TIME,2023-05-11T06:13:33,2023-05-11T01:13:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,18,LOG_TIME,2023-05-11T06:13:34,2023-05-11T01:13:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,19,LOG_TIME,2023-05-11T06:13:35,2023-05-11T01:13:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,20,LOG_TIME,2023-05-11T06:13:36,2023-05-11T01:13:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,21,LOG_TIME,2023-05-11T01:13:37,2023-05-11T01:13:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,22,LOG_TIME,2023-05-11T06:13:38,2023-05-11T01:13:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,23,LOG_TIME,2023-05-11T06:13:39,2023-05-11T01:13:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,24,LOG_TIME,2023-05-11T06:13:40,2023-05-11T01:13:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,862m,10%,1386Mi,17%,
kind-worker,83m,1%,315Mi,3%,
kind-worker2,168m,2%,387Mi,4%,
kind-worker3,161m,2%,325Mi,4%,
idx,25,LOG_TIME,2023-05-11T01:13:41,2023-05-11T01:13:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,26,LOG_TIME,2023-05-11T06:13:42,2023-05-11T01:13:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,27,LOG_TIME,2023-05-11T06:13:43,2023-05-11T06:13:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,28,LOG_TIME,2023-05-11T06:13:44,2023-05-11T06:13:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,29,LOG_TIME,2023-05-11T06:13:45,2023-05-11T01:13:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,30,LOG_TIME,2023-05-11T06:13:47,2023-05-11T01:13:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,31,LOG_TIME,2023-05-11T01:13:48,2023-05-11T01:13:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,32,LOG_TIME,2023-05-11T06:13:49,2023-05-11T01:13:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,33,LOG_TIME,2023-05-11T06:13:50,2023-05-11T01:13:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,34,LOG_TIME,2023-05-11T06:13:51,2023-05-11T01:13:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1015m,12%,1389Mi,17%,
kind-worker,152m,1%,316Mi,3%,
kind-worker2,95m,1%,387Mi,4%,
kind-worker3,167m,2%,340Mi,4%,
idx,35,LOG_TIME,2023-05-11T06:13:52,2023-05-11T01:13:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1067m,13%,1356Mi,17%,
kind-worker,79m,0%,313Mi,3%,
kind-worker2,85m,1%,387Mi,4%,
kind-worker3,161m,2%,312Mi,3%,
