idx,0,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,1,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,2,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,3,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,4,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,5,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,6,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,7,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,8,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,9,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,367m,4%,1396Mi,17%,
kind-worker,34m,0%,313Mi,3%,
kind-worker2,59m,0%,369Mi,4%,
kind-worker3,48m,0%,311Mi,3%,
idx,10,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,11,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,12,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,13,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,14,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,15,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,16,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,17,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,18,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,678m,8%,1386Mi,17%,
kind-worker,43m,0%,314Mi,3%,
kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,19,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
