idx,0,LOG_TIME,2024-01-14T03:02:45,2024-01-13T21:02:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,287m,3%,779Mi,9%,
kind-worker,42m,0%,309Mi,3%,
kind-worker2,54m,0%,312Mi,3%,
idx,1,LOG_TIME,2024-01-14T03:02:46,2024-01-13T21:02:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,2,LOG_TIME,2024-01-14T03:02:47,2024-01-13T21:02:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,3,LOG_TIME,2024-01-14T03:02:48,2024-01-13T21:02:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,4,LOG_TIME,2024-01-14T03:02:49,2024-01-13T21:02:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,5,LOG_TIME,2024-01-14T03:02:50,2024-01-13T21:02:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,6,LOG_TIME,2024-01-14T03:02:52,2024-01-13T21:02:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,7,LOG_TIME,2024-01-14T03:02:53,2024-01-13T21:02:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,8,LOG_TIME,2024-01-14T03:02:54,2024-01-13T21:02:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,9,LOG_TIME,2024-01-14T03:02:55,2024-01-13T21:02:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,272m,3%,778Mi,9%,
kind-worker,43m,0%,309Mi,3%,
kind-worker2,56m,0%,312Mi,3%,
idx,10,LOG_TIME,2024-01-14T03:02:56,2024-01-13T21:02:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,937m,11%,807Mi,10%,
kind-worker,59m,0%,308Mi,3%,
kind-worker2,69m,0%,313Mi,3%,
idx,11,LOG_TIME,2024-01-14T03:02:57,2024-01-13T21:02:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,937m,11%,807Mi,10%,
kind-worker,59m,0%,308Mi,3%,
kind-worker2,69m,0%,313Mi,3%,
