idx,0,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,1,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,2,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,3,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,4,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,5,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,6,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,7,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,8,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,9,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,10,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,11,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,12,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1380Mi,17%,
kind-worker,37m,0%,353Mi,4%,
kind-worker2,50m,0%,273Mi,3%,
kind-worker3,36m,0%,257Mi,3%,
idx,13,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,14,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,15,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,16,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,17,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,18,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,19,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,20,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,21,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,22,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,23,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,24,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,25,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,26,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,27,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,836m,10%,1381Mi,17%,
kind-worker,42m,0%,353Mi,4%,
kind-worker2,52m,0%,271Mi,3%,
kind-worker3,38m,0%,256Mi,3%,
idx,28,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,29,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,30,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,31,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,32,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,33,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,34,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,35,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,36,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,37,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,38,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,39,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,40,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,41,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,42,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,968m,12%,1389Mi,17%,
kind-worker,127m,1%,351Mi,4%,
kind-worker2,53m,0%,271Mi,3%,
kind-worker3,37m,0%,257Mi,3%,
idx,43,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,44,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,45,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,46,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,47,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,48,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,49,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,50,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,51,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,52,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,53,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,54,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
