idx,0,LOG_TIME,2023-08-22T00:24:44,2023-08-21T19:24:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,311m,3%,1148Mi,14%,
kind-worker,43m,0%,236Mi,2%,
kind-worker2,53m,0%,250Mi,3%,
kind-worker3,43m,0%,254Mi,3%,
idx,1,LOG_TIME,2023-08-22T00:24:45,2023-08-21T19:24:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,311m,3%,1148Mi,14%,
kind-worker,43m,0%,236Mi,2%,
kind-worker2,53m,0%,250Mi,3%,
kind-worker3,43m,0%,254Mi,3%,
idx,2,LOG_TIME,2023-08-22T00:24:46,2023-08-21T19:24:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,311m,3%,1148Mi,14%,
kind-worker,43m,0%,236Mi,2%,
kind-worker2,53m,0%,250Mi,3%,
kind-worker3,43m,0%,254Mi,3%,
idx,3,LOG_TIME,2023-08-22T00:24:47,2023-08-21T19:24:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,311m,3%,1148Mi,14%,
kind-worker,43m,0%,236Mi,2%,
kind-worker2,53m,0%,250Mi,3%,
kind-worker3,43m,0%,254Mi,3%,
idx,4,LOG_TIME,2023-08-22T00:24:48,2023-08-21T19:24:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,311m,3%,1148Mi,14%,
kind-worker,43m,0%,236Mi,2%,
kind-worker2,53m,0%,250Mi,3%,
kind-worker3,43m,0%,254Mi,3%,
idx,5,LOG_TIME,2023-08-22T00:24:49,2023-08-21T19:24:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,6,LOG_TIME,2023-08-22T00:24:50,2023-08-21T19:24:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,7,LOG_TIME,2023-08-22T00:24:51,2023-08-21T19:24:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,8,LOG_TIME,2023-08-22T00:24:52,2023-08-21T19:24:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,9,LOG_TIME,2023-08-22T00:24:53,2023-08-21T19:24:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,10,LOG_TIME,2023-08-22T00:24:54,2023-08-21T19:24:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,11,LOG_TIME,2023-08-22T00:24:55,2023-08-21T19:24:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,12,LOG_TIME,2023-08-22T00:24:56,2023-08-21T19:24:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,340m,4%,801Mi,10%,
kind-worker,47m,0%,236Mi,2%,
kind-worker2,61m,0%,250Mi,3%,
kind-worker3,46m,0%,256Mi,3%,
idx,13,LOG_TIME,2023-08-22T00:24:57,2023-08-21T19:24:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
