idx,0,LOG_TIME,2023-05-14T14:49:56,2023-05-14T09:49:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,1,LOG_TIME,2023-05-14T14:49:57,2023-05-14T09:49:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,2,LOG_TIME,2023-05-14T14:49:58,2023-05-14T09:49:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,3,LOG_TIME,2023-05-14T14:49:59,2023-05-14T09:49:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,4,LOG_TIME,2023-05-14T14:50:00,2023-05-14T09:50:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,5,LOG_TIME,2023-05-14T14:50:01,2023-05-14T09:50:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,6,LOG_TIME,2023-05-14T09:50:02,2023-05-14T09:50:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,7,LOG_TIME,2023-05-14T14:50:03,2023-05-14T09:50:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,8,LOG_TIME,2023-05-14T14:50:04,2023-05-14T09:50:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,1087Mi,13%,
kind-worker,49m,0%,200Mi,2%,
kind-worker2,52m,0%,223Mi,2%,
kind-worker3,43m,0%,194Mi,2%,
idx,9,LOG_TIME,2023-05-14T14:50:05,2023-05-14T09:50:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,10,LOG_TIME,2023-05-14T14:50:06,2023-05-14T09:50:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,11,LOG_TIME,2023-05-14T14:50:07,2023-05-14T09:50:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,12,LOG_TIME,2023-05-14T14:50:08,2023-05-14T09:50:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,13,LOG_TIME,2023-05-14T14:50:09,2023-05-14T14:50:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,14,LOG_TIME,2023-05-14T14:50:10,2023-05-14T09:50:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,15,LOG_TIME,2023-05-14T14:50:11,2023-05-14T09:50:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,16,LOG_TIME,2023-05-14T09:50:12,2023-05-14T09:50:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
kind-worker,88m,1%,204Mi,2%,
kind-worker2,59m,0%,217Mi,2%,
kind-worker3,40m,0%,194Mi,2%,
idx,17,LOG_TIME,2023-05-14T14:50:13,2023-05-14T09:50:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,1084Mi,13%,
