idx,0,LOG_TIME,2023-05-14T12:40:51,2023-05-14T12:40:51
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,0,11s
idx,1,LOG_TIME,2023-05-14T17:40:52,2023-05-14T12:40:52
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,0,12s
idx,2,LOG_TIME,2023-05-14T12:40:53,2023-05-14T12:40:53
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,0,13s
idx,3,LOG_TIME,2023-05-14T17:40:54,2023-05-14T12:40:54
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,0,14s
idx,4,LOG_TIME,2023-05-14T17:40:55,2023-05-14T12:40:55
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,0,15s
idx,5,LOG_TIME,2023-05-14T17:40:56,2023-05-14T12:40:56
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,16s
idx,6,LOG_TIME,2023-05-14T17:40:57,2023-05-14T12:40:57
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,17s
idx,7,LOG_TIME,2023-05-14T12:40:58,2023-05-14T12:40:58
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,18s
idx,8,LOG_TIME,2023-05-14T17:40:59,2023-05-14T12:40:59
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,19s
idx,9,LOG_TIME,2023-05-14T17:41:00,2023-05-14T17:41:00
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,20s
idx,10,LOG_TIME,2023-05-14T12:41:01,2023-05-14T12:41:01
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,21s
idx,11,LOG_TIME,2023-05-14T17:41:02,2023-05-14T12:41:02
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,10,1,22s
