idx,0,LOG_TIME,2023-05-17T17:38:06,2023-05-17T12:38:06
idx,1,LOG_TIME,2023-05-17T17:38:07,2023-05-17T12:38:07
idx,2,LOG_TIME,2023-05-17T17:38:08,2023-05-17T12:38:08
idx,3,LOG_TIME,2023-05-17T17:38:09,2023-05-17T12:38:09
idx,4,LOG_TIME,2023-05-17T17:38:10,2023-05-17T12:38:10
idx,5,LOG_TIME,2023-05-17T17:38:11,2023-05-17T12:38:11
idx,6,LOG_TIME,2023-05-17T17:38:12,2023-05-17T12:38:12
idx,7,LOG_TIME,2023-05-17T17:38:13,2023-05-17T12:38:13
idx,8,LOG_TIME,2023-05-17T17:38:14,2023-05-17T12:38:14
idx,9,LOG_TIME,2023-05-17T17:38:15,2023-05-17T12:38:15
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,10,LOG_TIME,2023-05-17T17:38:16,2023-05-17T12:38:16
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,11,LOG_TIME,2023-05-17T17:38:17,2023-05-17T12:38:17
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,12,LOG_TIME,2023-05-17T17:38:18,2023-05-17T12:38:18
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,13,LOG_TIME,2023-05-17T17:38:19,2023-05-17T12:38:19
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,14,LOG_TIME,2023-05-17T17:38:20,2023-05-17T12:38:20
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,15,LOG_TIME,2023-05-17T17:38:21,2023-05-17T12:38:21
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,16,LOG_TIME,2023-05-17T17:38:22,2023-05-17T12:38:22
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,17,LOG_TIME,2023-05-17T17:38:23,2023-05-17T12:38:23
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,18,LOG_TIME,2023-05-17T17:38:24,2023-05-17T12:38:24
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,19,LOG_TIME,2023-05-17T17:38:25,2023-05-17T12:38:25
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,20,LOG_TIME,2023-05-17T17:38:26,2023-05-17T12:38:26
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,21,LOG_TIME,2023-05-17T17:38:27,2023-05-17T12:38:27
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,22,LOG_TIME,2023-05-17T17:38:28,2023-05-17T12:38:28
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,23,LOG_TIME,2023-05-17T17:38:29,2023-05-17T12:38:29
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,24,LOG_TIME,2023-05-17T17:38:30,2023-05-17T12:38:30
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,25,LOG_TIME,2023-05-17T17:38:31,2023-05-17T12:38:31
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,26,LOG_TIME,2023-05-17T17:38:32,2023-05-17T12:38:32
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,27,LOG_TIME,2023-05-17T17:38:33,2023-05-17T12:38:33
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,28,LOG_TIME,2023-05-17T17:38:34,2023-05-17T12:38:34
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,29,LOG_TIME,2023-05-17T17:38:35,2023-05-17T12:38:35
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,30,LOG_TIME,2023-05-17T17:38:36,2023-05-17T12:38:36
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,31,LOG_TIME,2023-05-17T17:38:37,2023-05-17T12:38:37
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,32,LOG_TIME,2023-05-17T17:38:38,2023-05-17T12:38:38
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,33,LOG_TIME,2023-05-17T17:38:39,2023-05-17T12:38:39
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,34,LOG_TIME,2023-05-17T17:38:40,2023-05-17T12:38:40
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,35,LOG_TIME,2023-05-17T17:38:41,2023-05-17T12:38:41
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,36,LOG_TIME,2023-05-17T17:38:42,2023-05-17T12:38:42
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,37,LOG_TIME,2023-05-17T17:38:43,2023-05-17T12:38:43
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,101m,15Mi,
idx,38,LOG_TIME,2023-05-17T17:38:44,2023-05-17T12:38:44
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,39,LOG_TIME,2023-05-17T17:38:45,2023-05-17T12:38:45
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,40,LOG_TIME,2023-05-17T17:38:46,2023-05-17T12:38:46
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,41,LOG_TIME,2023-05-17T17:38:47,2023-05-17T12:38:47
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,42,LOG_TIME,2023-05-17T17:38:48,2023-05-17T12:38:48
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,43,LOG_TIME,2023-05-17T17:38:49,2023-05-17T12:38:49
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,44,LOG_TIME,2023-05-17T17:38:50,2023-05-17T12:38:50
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,45,LOG_TIME,2023-05-17T17:38:51,2023-05-17T12:38:51
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,46,LOG_TIME,2023-05-17T17:38:52,2023-05-17T12:38:52
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,47,LOG_TIME,2023-05-17T17:38:53,2023-05-17T12:38:53
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,48,LOG_TIME,2023-05-17T17:38:55,2023-05-17T12:38:55
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,49,LOG_TIME,2023-05-17T17:38:56,2023-05-17T12:38:56
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,50,LOG_TIME,2023-05-17T17:38:57,2023-05-17T12:38:57
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,51,LOG_TIME,2023-05-17T17:38:58,2023-05-17T12:38:58
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,52,LOG_TIME,2023-05-17T17:38:59,2023-05-17T12:38:59
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
idx,53,LOG_TIME,2023-05-17T17:39:00,2023-05-17T12:39:00
NAME,CPU(cores),MEMORY(bytes),
h1-app-77f798d99c-pkb7g,100m,15Mi,
