idx,0,LOG_TIME,2023-05-17T21:37:53,2023-05-17T16:37:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,302m,3%,849Mi,10%,
kind-worker,94m,1%,276Mi,3%,
kind-worker2,47m,0%,286Mi,3%,
kind-worker3,44m,0%,265Mi,3%,
idx,1,LOG_TIME,2023-05-17T21:37:54,2023-05-17T16:37:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,302m,3%,849Mi,10%,
kind-worker,94m,1%,276Mi,3%,
kind-worker2,47m,0%,286Mi,3%,
kind-worker3,44m,0%,265Mi,3%,
idx,2,LOG_TIME,2023-05-17T21:37:55,2023-05-17T16:37:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,3,LOG_TIME,2023-05-17T21:37:56,2023-05-17T16:37:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,4,LOG_TIME,2023-05-17T21:37:57,2023-05-17T16:37:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,5,LOG_TIME,2023-05-17T21:37:58,2023-05-17T16:37:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,6,LOG_TIME,2023-05-17T21:37:59,2023-05-17T16:37:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,7,LOG_TIME,2023-05-17T21:38:00,2023-05-17T16:38:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,8,LOG_TIME,2023-05-17T21:38:01,2023-05-17T16:38:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,9,LOG_TIME,2023-05-17T21:38:02,2023-05-17T16:38:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,10,LOG_TIME,2023-05-17T21:38:03,2023-05-17T16:38:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,11,LOG_TIME,2023-05-17T21:38:04,2023-05-17T16:38:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,355m,4%,850Mi,10%,
kind-worker,263m,3%,289Mi,3%,
kind-worker2,48m,0%,287Mi,3%,
kind-worker3,37m,0%,266Mi,3%,
idx,12,LOG_TIME,2023-05-17T21:38:05,2023-05-17T16:38:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,13,LOG_TIME,2023-05-17T21:38:06,2023-05-17T16:38:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,14,LOG_TIME,2023-05-17T21:38:07,2023-05-17T16:38:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,15,LOG_TIME,2023-05-17T21:38:08,2023-05-17T16:38:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,16,LOG_TIME,2023-05-17T21:38:09,2023-05-17T16:38:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,17,LOG_TIME,2023-05-17T21:38:10,2023-05-17T16:38:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,18,LOG_TIME,2023-05-17T21:38:11,2023-05-17T16:38:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,19,LOG_TIME,2023-05-17T21:38:12,2023-05-17T16:38:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,20,LOG_TIME,2023-05-17T21:38:13,2023-05-17T16:38:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,21,LOG_TIME,2023-05-17T21:38:14,2023-05-17T16:38:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,905m,11%,850Mi,10%,
kind-worker,242m,3%,289Mi,3%,
kind-worker2,51m,0%,285Mi,3%,
kind-worker3,40m,0%,265Mi,3%,
idx,22,LOG_TIME,2023-05-17T21:38:15,2023-05-17T16:38:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,23,LOG_TIME,2023-05-17T21:38:16,2023-05-17T16:38:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,24,LOG_TIME,2023-05-17T21:38:17,2023-05-17T16:38:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,25,LOG_TIME,2023-05-17T21:38:18,2023-05-17T16:38:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,26,LOG_TIME,2023-05-17T21:38:19,2023-05-17T16:38:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,27,LOG_TIME,2023-05-17T21:38:20,2023-05-17T16:38:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
