idx,0,LOG_TIME,2023-05-14T10:53:17,2023-05-14T10:53:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,1,LOG_TIME,2023-05-14T15:53:18,2023-05-14T10:53:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,2,LOG_TIME,2023-05-14T15:53:19,2023-05-14T10:53:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,3,LOG_TIME,2023-05-14T15:53:20,2023-05-14T10:53:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,4,LOG_TIME,2023-05-14T15:53:21,2023-05-14T10:53:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,5,LOG_TIME,2023-05-14T15:53:22,2023-05-14T10:53:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,6,LOG_TIME,2023-05-14T10:53:23,2023-05-14T10:53:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,347m,4%,1091Mi,13%,
kind-worker,50m,0%,273Mi,3%,
kind-worker2,54m,0%,296Mi,3%,
kind-worker3,41m,0%,271Mi,3%,
idx,7,LOG_TIME,2023-05-14T15:53:24,2023-05-14T10:53:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,8,LOG_TIME,2023-05-14T15:53:25,2023-05-14T10:53:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,9,LOG_TIME,2023-05-14T15:53:26,2023-05-14T10:53:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,10,LOG_TIME,2023-05-14T15:53:27,2023-05-14T10:53:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,11,LOG_TIME,2023-05-14T15:53:28,2023-05-14T10:53:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,12,LOG_TIME,2023-05-14T15:53:29,2023-05-14T10:53:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,13,LOG_TIME,2023-05-14T15:53:30,2023-05-14T10:53:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,14,LOG_TIME,2023-05-14T15:53:31,2023-05-14T10:53:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,15,LOG_TIME,2023-05-14T15:53:32,2023-05-14T10:53:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,16,LOG_TIME,2023-05-14T15:53:33,2023-05-14T10:53:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,345m,4%,1093Mi,13%,
kind-worker,39m,0%,274Mi,3%,
kind-worker2,54m,0%,298Mi,3%,
kind-worker3,117m,1%,277Mi,3%,
idx,17,LOG_TIME,2023-05-14T15:53:34,2023-05-14T10:53:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,382m,4%,1095Mi,13%,
kind-worker,42m,0%,272Mi,3%,
kind-worker2,51m,0%,298Mi,3%,
kind-worker3,143m,1%,289Mi,3%,
idx,18,LOG_TIME,2023-05-14T15:53:35,2023-05-14T10:53:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,382m,4%,1095Mi,13%,
kind-worker,42m,0%,272Mi,3%,
kind-worker2,51m,0%,298Mi,3%,
kind-worker3,143m,1%,289Mi,3%,
