idx,0,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,1,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,2,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,3,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,4,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,5,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,6,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,7,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,388m,4%,1356Mi,17%,
kind-worker,57m,0%,334Mi,4%,
kind-worker2,58m,0%,390Mi,4%,
kind-worker3,43m,0%,370Mi,4%,
idx,8,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,9,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,10,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,11,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,12,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,13,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,14,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,15,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,16,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,17,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,634m,7%,1353Mi,16%,
kind-worker,55m,0%,334Mi,4%,
kind-worker2,56m,0%,389Mi,4%,
kind-worker3,39m,0%,371Mi,4%,
idx,18,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,19,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,20,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,21,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,22,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,23,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,24,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,25,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,26,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,980m,12%,1353Mi,16%,
kind-worker,109m,1%,342Mi,4%,
kind-worker2,55m,0%,388Mi,4%,
kind-worker3,34m,0%,370Mi,4%,
idx,27,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,988m,12%,1353Mi,16%,
kind-worker,39m,0%,343Mi,4%,
kind-worker2,48m,0%,389Mi,4%,
kind-worker3,41m,0%,370Mi,4%,
idx,28,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,988m,12%,1353Mi,16%,
kind-worker,39m,0%,343Mi,4%,
kind-worker2,48m,0%,389Mi,4%,
kind-worker3,41m,0%,370Mi,4%,
idx,29,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,988m,12%,1353Mi,16%,
