idx,0,LOG_TIME,2023-05-18T15:18:34,2023-05-18T10:18:34
idx,1,LOG_TIME,2023-05-18T15:18:35,2023-05-18T10:18:35
idx,2,LOG_TIME,2023-05-18T15:18:36,2023-05-18T10:18:36
idx,3,LOG_TIME,2023-05-18T15:18:37,2023-05-18T10:18:37
idx,4,LOG_TIME,2023-05-18T15:18:38,2023-05-18T10:18:38
idx,5,LOG_TIME,2023-05-18T15:18:39,2023-05-18T10:18:39
idx,6,LOG_TIME,2023-05-18T15:18:40,2023-05-18T10:18:40
idx,7,LOG_TIME,2023-05-18T15:18:41,2023-05-18T10:18:41
idx,8,LOG_TIME,2023-05-18T15:18:42,2023-05-18T10:18:42
idx,9,LOG_TIME,2023-05-18T15:18:43,2023-05-18T10:18:43
idx,10,LOG_TIME,2023-05-18T15:18:44,2023-05-18T10:18:44
idx,11,LOG_TIME,2023-05-18T15:18:45,2023-05-18T10:18:45
idx,12,LOG_TIME,2023-05-18T15:18:46,2023-05-18T10:18:46
idx,13,LOG_TIME,2023-05-18T15:18:47,2023-05-18T10:18:47
idx,14,LOG_TIME,2023-05-18T15:18:48,2023-05-18T10:18:48
idx,15,LOG_TIME,2023-05-18T15:18:49,2023-05-18T10:18:49
idx,16,LOG_TIME,2023-05-18T15:18:50,2023-05-18T10:18:50
idx,17,LOG_TIME,2023-05-18T15:18:51,2023-05-18T10:18:51
idx,18,LOG_TIME,2023-05-18T15:18:53,2023-05-18T10:18:53
idx,19,LOG_TIME,2023-05-18T15:18:54,2023-05-18T10:18:54
idx,20,LOG_TIME,2023-05-18T15:18:55,2023-05-18T10:18:55
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,21,LOG_TIME,2023-05-18T15:18:56,2023-05-18T10:18:56
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,22,LOG_TIME,2023-05-18T15:18:57,2023-05-18T10:18:57
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,23,LOG_TIME,2023-05-18T15:18:58,2023-05-18T10:18:58
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,24,LOG_TIME,2023-05-18T15:18:59,2023-05-18T10:18:59
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,25,LOG_TIME,2023-05-18T15:19:00,2023-05-18T10:19:00
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,26,LOG_TIME,2023-05-18T15:19:01,2023-05-18T10:19:01
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,27,LOG_TIME,2023-05-18T15:19:02,2023-05-18T10:19:02
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,28,LOG_TIME,2023-05-18T15:19:03,2023-05-18T10:19:03
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-c67ks,101m,16Mi,
idx,29,LOG_TIME,2023-05-18T15:19:04,2023-05-18T10:19:04
NAME,CPU(cores),MEMORY(bytes),
