idx,0,LOG_TIME,2023-05-18T14:56:27,2023-05-18T09:56:27
idx,1,LOG_TIME,2023-05-18T14:56:28,2023-05-18T09:56:29
idx,2,LOG_TIME,2023-05-18T14:56:30,2023-05-18T09:56:30
idx,3,LOG_TIME,2023-05-18T14:56:31,2023-05-18T09:56:31
idx,4,LOG_TIME,2023-05-18T14:56:32,2023-05-18T09:56:32
idx,5,LOG_TIME,2023-05-18T14:56:33,2023-05-18T09:56:33
idx,6,LOG_TIME,2023-05-18T14:56:34,2023-05-18T09:56:34
idx,7,LOG_TIME,2023-05-18T14:56:35,2023-05-18T09:56:35
idx,8,LOG_TIME,2023-05-18T14:56:36,2023-05-18T09:56:36
idx,9,LOG_TIME,2023-05-18T14:56:37,2023-05-18T09:56:37
idx,10,LOG_TIME,2023-05-18T14:56:38,2023-05-18T09:56:38
idx,11,LOG_TIME,2023-05-18T14:56:39,2023-05-18T09:56:39
idx,12,LOG_TIME,2023-05-18T14:56:40,2023-05-18T09:56:40
idx,13,LOG_TIME,2023-05-18T14:56:41,2023-05-18T09:56:41
idx,14,LOG_TIME,2023-05-18T14:56:42,2023-05-18T09:56:42
idx,15,LOG_TIME,2023-05-18T14:56:43,2023-05-18T09:56:43
idx,16,LOG_TIME,2023-05-18T14:56:44,2023-05-18T09:56:44
idx,17,LOG_TIME,2023-05-18T14:56:45,2023-05-18T09:56:45
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,18,LOG_TIME,2023-05-18T14:56:46,2023-05-18T09:56:46
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,19,LOG_TIME,2023-05-18T14:56:47,2023-05-18T09:56:47
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,20,LOG_TIME,2023-05-18T14:56:48,2023-05-18T09:56:48
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,21,LOG_TIME,2023-05-18T14:56:49,2023-05-18T09:56:49
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,22,LOG_TIME,2023-05-18T14:56:50,2023-05-18T09:56:50
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,23,LOG_TIME,2023-05-18T14:56:51,2023-05-18T09:56:51
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,24,LOG_TIME,2023-05-18T14:56:52,2023-05-18T09:56:52
NAME,CPU(cores),MEMORY(bytes),
h1-app-5864579b49-jsstn,101m,15Mi,
idx,25,LOG_TIME,2023-05-18T14:56:53,2023-05-18T09:56:53
