idx,0,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,8m54s
idx,1,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,8m55s
idx,2,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,8m56s
idx,3,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,8m57s
idx,4,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,8m58s
idx,5,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,8m59s
idx,6,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m
idx,7,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m1s
idx,8,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m2s
idx,9,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m3s
idx,10,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m4s
idx,11,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m5s
idx,12,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m6s
idx,13,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m7s
idx,14,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m8s
idx,15,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m9s
idx,16,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m10s
idx,17,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m11s
idx,18,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,12,6,9m12s
idx,19,LOG_TIME,2023-05-01T06:42:42,2023-05-01T01:42:42
