idx,0,LOG_TIME,2024-01-13T21:46:26,2024-01-13T15:46:26,-,-
idx,1,LOG_TIME,2024-01-13T21:46:27,2024-01-13T15:46:27,-,-
idx,2,LOG_TIME,2024-01-13T21:46:28,2024-01-13T15:46:28,-,-
idx,3,LOG_TIME,2024-01-13T21:46:29,2024-01-13T15:46:29,-,-
idx,4,LOG_TIME,2024-01-13T21:46:30,2024-01-13T15:46:30,-,-
idx,5,LOG_TIME,2024-01-13T21:46:31,2024-01-13T15:46:31,-,-
idx,6,LOG_TIME,2024-01-13T21:46:32,2024-01-13T15:46:32,-,-
idx,7,LOG_TIME,2024-01-13T21:46:33,2024-01-13T15:46:33,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,1s
idx,8,LOG_TIME,2024-01-13T21:46:34,2024-01-13T15:46:34,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,2s
idx,9,LOG_TIME,2024-01-13T21:46:35,2024-01-13T15:46:35,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,3s
idx,10,LOG_TIME,2024-01-13T21:46:36,2024-01-13T15:46:36,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,4s
idx,11,LOG_TIME,2024-01-13T21:46:37,2024-01-13T15:46:37,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,5s
idx,12,LOG_TIME,2024-01-13T21:46:38,2024-01-13T15:46:38,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,7s
idx,13,LOG_TIME,2024-01-13T21:46:39,2024-01-13T15:46:39,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,7s
idx,14,LOG_TIME,2024-01-13T21:46:40,2024-01-13T15:46:40,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,8s
idx,15,LOG_TIME,2024-01-13T21:46:41,2024-01-13T15:46:41,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,9s
idx,16,LOG_TIME,2024-01-13T21:46:42,2024-01-13T15:46:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,10s
idx,17,LOG_TIME,2024-01-13T21:46:43,2024-01-13T15:46:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,11s
idx,18,LOG_TIME,2024-01-13T21:46:44,2024-01-13T15:46:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,12s
idx,19,LOG_TIME,2024-01-13T21:46:45,2024-01-13T15:46:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,13s
idx,20,LOG_TIME,2024-01-13T21:46:46,2024-01-13T15:46:46,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,0,14s
idx,21,LOG_TIME,2024-01-13T21:46:47,2024-01-13T15:46:47,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,16s
idx,22,LOG_TIME,2024-01-13T21:46:48,2024-01-13T15:46:48,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,17s
idx,23,LOG_TIME,2024-01-13T21:46:49,2024-01-13T15:46:49,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,18s
idx,24,LOG_TIME,2024-01-13T21:46:50,2024-01-13T15:46:50,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,19s
idx,25,LOG_TIME,2024-01-13T21:46:51,2024-01-13T15:46:51,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,20s
idx,26,LOG_TIME,2024-01-13T21:46:52,2024-01-13T15:46:52,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,21s
idx,27,LOG_TIME,2024-01-13T21:46:53,2024-01-13T15:46:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,22s
idx,28,LOG_TIME,2024-01-13T21:46:54,2024-01-13T15:46:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,23s
idx,29,LOG_TIME,2024-01-13T21:46:56,2024-01-13T15:46:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,24s
idx,30,LOG_TIME,2024-01-13T21:46:57,2024-01-13T15:46:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,25s
idx,31,LOG_TIME,2024-01-13T21:46:58,2024-01-13T15:46:58,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,26s
idx,32,LOG_TIME,2024-01-13T21:46:59,2024-01-13T15:46:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,27s
idx,33,LOG_TIME,2024-01-13T21:47:00,2024-01-13T15:47:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,28s
idx,34,LOG_TIME,2024-01-13T21:47:01,2024-01-13T15:47:01,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,29s
idx,35,LOG_TIME,2024-01-13T21:47:02,2024-01-13T15:47:02,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,3,5,3,30s
idx,36,LOG_TIME,2024-01-13T21:47:03,2024-01-13T15:47:03,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,31s
idx,37,LOG_TIME,2024-01-13T21:47:04,2024-01-13T15:47:04,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,32s
idx,38,LOG_TIME,2024-01-13T21:47:05,2024-01-13T15:47:05,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,33s
idx,39,LOG_TIME,2024-01-13T21:47:06,2024-01-13T15:47:06,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,34s
idx,40,LOG_TIME,2024-01-13T21:47:07,2024-01-13T15:47:07,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,35s
idx,41,LOG_TIME,2024-01-13T21:47:08,2024-01-13T15:47:08,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,36s
idx,42,LOG_TIME,2024-01-13T21:47:09,2024-01-13T15:47:09,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,37s
idx,43,LOG_TIME,2024-01-13T21:47:10,2024-01-13T15:47:10,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,38s
idx,44,LOG_TIME,2024-01-13T21:47:11,2024-01-13T15:47:11,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,39s
idx,45,LOG_TIME,2024-01-13T21:47:12,2024-01-13T15:47:12,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,40s
idx,46,LOG_TIME,2024-01-13T21:47:13,2024-01-13T15:47:13,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,41s
idx,47,LOG_TIME,2024-01-13T21:47:14,2024-01-13T15:47:14,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,42s
idx,48,LOG_TIME,2024-01-13T21:47:15,2024-01-13T15:47:15,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,43s
idx,49,LOG_TIME,2024-01-13T21:47:16,2024-01-13T15:47:16,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,44s
idx,50,LOG_TIME,2024-01-13T21:47:17,2024-01-13T15:47:17,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,101%/50%,3,5,3,45s
idx,51,LOG_TIME,2024-01-13T21:47:18,2024-01-13T15:47:18,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,100%/50%,3,5,3,46s
idx,52,LOG_TIME,2024-01-13T21:47:19,2024-01-13T15:47:19,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,100%/50%,3,5,3,47s
idx,53,LOG_TIME,2024-01-13T21:47:20,2024-01-13T15:47:20,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,100%/50%,3,5,3,48s
idx,54,LOG_TIME,2024-01-13T21:47:21,2024-01-13T15:47:21,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,100%/50%,3,5,3,49s
idx,55,LOG_TIME,2024-01-13T21:47:22,2024-01-13T15:47:22,-,-
