idx,0,LOG_TIME,2023-09-19T17:01:47,2023-09-19T12:01:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,313m,3%,860Mi,10%,
kind-worker,47m,0%,345Mi,4%,
kind-worker2,59m,0%,321Mi,4%,
kind-worker3,46m,0%,356Mi,4%,
idx,1,LOG_TIME,2023-09-19T17:01:48,2023-09-19T12:01:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,313m,3%,860Mi,10%,
kind-worker,47m,0%,345Mi,4%,
kind-worker2,59m,0%,321Mi,4%,
kind-worker3,46m,0%,356Mi,4%,
idx,2,LOG_TIME,2023-09-19T17:01:50,2023-09-19T12:01:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,348m,4%,862Mi,10%,
kind-worker,48m,0%,344Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,53m,0%,356Mi,4%,
idx,3,LOG_TIME,2023-09-19T17:01:51,2023-09-19T12:01:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,348m,4%,862Mi,10%,
kind-worker,48m,0%,344Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,53m,0%,356Mi,4%,
idx,4,LOG_TIME,2023-09-19T17:01:52,2023-09-19T12:01:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,348m,4%,862Mi,10%,
kind-worker,48m,0%,344Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,53m,0%,356Mi,4%,
idx,5,LOG_TIME,2023-09-19T17:01:53,2023-09-19T12:01:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,348m,4%,862Mi,10%,
kind-worker,48m,0%,344Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,53m,0%,356Mi,4%,
idx,6,LOG_TIME,2023-09-19T17:01:54,2023-09-19T12:01:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,348m,4%,862Mi,10%,
kind-worker,48m,0%,344Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,53m,0%,356Mi,4%,
idx,7,LOG_TIME,2023-09-19T17:01:55,2023-09-19T12:01:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,348m,4%,862Mi,10%,
kind-worker,48m,0%,344Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,53m,0%,356Mi,4%,
idx,8,LOG_TIME,2023-09-19T17:01:56,2023-09-19T12:01:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
