idx,0,LOG_TIME,2023-09-20T04:49:40,2023-09-19T23:49:40,-,-
idx,1,LOG_TIME,2023-09-20T04:49:41,2023-09-19T23:49:41,-,-
idx,2,LOG_TIME,2023-09-20T04:49:43,2023-09-19T23:49:43,-,-
idx,3,LOG_TIME,2023-09-20T04:49:44,2023-09-19T23:49:44,-,-
idx,4,LOG_TIME,2023-09-20T04:49:45,2023-09-19T23:49:45,-,-
idx,5,LOG_TIME,2023-09-20T04:49:46,2023-09-19T23:49:46,-,-
idx,6,LOG_TIME,2023-09-20T04:49:47,2023-09-19T23:49:47,-,-
idx,7,LOG_TIME,2023-09-20T04:49:48,2023-09-19T23:49:48,-,-
idx,8,LOG_TIME,2023-09-20T04:49:49,2023-09-19T23:49:49,-,-
idx,9,LOG_TIME,2023-09-20T04:49:50,2023-09-19T23:49:50,-,-
idx,10,LOG_TIME,2023-09-20T04:49:51,2023-09-19T23:49:51,-,-
idx,11,LOG_TIME,2023-09-20T04:49:52,2023-09-19T23:49:52,-,-
idx,12,LOG_TIME,2023-09-20T04:49:53,2023-09-19T23:49:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,1s
idx,13,LOG_TIME,2023-09-20T04:49:54,2023-09-19T23:49:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,2s
idx,14,LOG_TIME,2023-09-20T04:49:55,2023-09-19T23:49:55,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,3s
idx,15,LOG_TIME,2023-09-20T04:49:56,2023-09-19T23:49:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,4s
idx,16,LOG_TIME,2023-09-20T04:49:57,2023-09-19T23:49:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,5s
idx,17,LOG_TIME,2023-09-20T04:49:58,2023-09-19T23:49:58,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,6s
idx,18,LOG_TIME,2023-09-20T04:49:59,2023-09-19T23:49:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,7s
idx,19,LOG_TIME,2023-09-20T04:50:00,2023-09-19T23:50:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,8s
idx,20,LOG_TIME,2023-09-20T04:50:01,2023-09-19T23:50:01,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,10s
idx,21,LOG_TIME,2023-09-20T04:50:02,2023-09-19T23:50:02,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,11s
idx,22,LOG_TIME,2023-09-20T04:50:03,2023-09-19T23:50:03,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,12s
idx,23,LOG_TIME,2023-09-20T04:50:04,2023-09-19T23:50:04,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,13s
idx,24,LOG_TIME,2023-09-20T04:50:05,2023-09-19T23:50:05,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,14s
idx,25,LOG_TIME,2023-09-20T04:50:06,2023-09-19T23:50:06,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,0,15s
idx,26,LOG_TIME,2023-09-20T04:50:07,2023-09-19T23:50:07,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,16s
idx,27,LOG_TIME,2023-09-20T04:50:08,2023-09-19T23:50:08,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,17s
idx,28,LOG_TIME,2023-09-20T04:50:10,2023-09-19T23:50:10,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,2,5,2,18s
idx,29,LOG_TIME,2023-09-20T04:50:11,2023-09-19T23:50:11,-,-
