idx,0,LOG_TIME,2023-09-15T20:49:21,2023-09-15T15:49:21,-,-
idx,1,LOG_TIME,2023-09-15T20:49:22,2023-09-15T15:49:22,-,-
idx,2,LOG_TIME,2023-09-15T20:49:23,2023-09-15T15:49:23,-,-
idx,3,LOG_TIME,2023-09-15T20:49:24,2023-09-15T15:49:24,-,-
idx,4,LOG_TIME,2023-09-15T20:49:25,2023-09-15T15:49:25,-,-
idx,5,LOG_TIME,2023-09-15T20:49:26,2023-09-15T15:49:26,-,-
idx,6,LOG_TIME,2023-09-15T20:49:27,2023-09-15T15:49:27,-,-
idx,7,LOG_TIME,2023-09-15T20:49:28,2023-09-15T15:49:28,-,-
idx,8,LOG_TIME,2023-09-15T20:49:30,2023-09-15T15:49:30,-,-
idx,9,LOG_TIME,2023-09-15T20:49:31,2023-09-15T15:49:31,-,-
idx,10,LOG_TIME,2023-09-15T20:49:32,2023-09-15T15:49:32,-,-
idx,11,LOG_TIME,2023-09-15T20:49:33,2023-09-15T15:49:33,-,-
idx,12,LOG_TIME,2023-09-15T20:49:34,2023-09-15T15:49:34,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,1s
idx,13,LOG_TIME,2023-09-15T20:49:35,2023-09-15T15:49:35,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,2s
idx,14,LOG_TIME,2023-09-15T20:49:36,2023-09-15T15:49:36,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,3s
idx,15,LOG_TIME,2023-09-15T20:49:37,2023-09-15T15:49:37,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,4s
idx,16,LOG_TIME,2023-09-15T20:49:38,2023-09-15T15:49:38,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,5s
idx,17,LOG_TIME,2023-09-15T20:49:39,2023-09-15T15:49:39,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,6s
idx,18,LOG_TIME,2023-09-15T20:49:40,2023-09-15T15:49:40,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,7s
idx,19,LOG_TIME,2023-09-15T20:49:41,2023-09-15T15:49:41,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,8s
idx,20,LOG_TIME,2023-09-15T20:49:42,2023-09-15T15:49:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,9s
idx,21,LOG_TIME,2023-09-15T20:49:43,2023-09-15T15:49:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,10s
idx,22,LOG_TIME,2023-09-15T20:49:44,2023-09-15T15:49:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,11s
idx,23,LOG_TIME,2023-09-15T20:49:45,2023-09-15T15:49:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,12s
idx,24,LOG_TIME,2023-09-15T20:49:46,2023-09-15T15:49:46,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,13s
idx,25,LOG_TIME,2023-09-15T20:49:47,2023-09-15T15:49:47,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,0,14s
idx,26,LOG_TIME,2023-09-15T20:49:48,2023-09-15T15:49:48,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,15s
idx,27,LOG_TIME,2023-09-15T20:49:49,2023-09-15T15:49:49,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,16s
idx,28,LOG_TIME,2023-09-15T20:49:50,2023-09-15T15:49:50,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,17s
idx,29,LOG_TIME,2023-09-15T20:49:51,2023-09-15T15:49:51,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,18s
idx,30,LOG_TIME,2023-09-15T20:49:52,2023-09-15T15:49:52,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,19s
idx,31,LOG_TIME,2023-09-15T20:49:53,2023-09-15T15:49:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,20s
idx,32,LOG_TIME,2023-09-15T20:49:54,2023-09-15T15:49:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,22s
idx,33,LOG_TIME,2023-09-15T20:49:55,2023-09-15T15:49:55,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,23s
idx,34,LOG_TIME,2023-09-15T20:49:56,2023-09-15T15:49:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,23s
idx,35,LOG_TIME,2023-09-15T20:49:57,2023-09-15T15:49:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,25s
idx,36,LOG_TIME,2023-09-15T20:49:58,2023-09-15T15:49:58,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,26s
idx,37,LOG_TIME,2023-09-15T20:49:59,2023-09-15T15:49:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,27s
idx,38,LOG_TIME,2023-09-15T20:50:00,2023-09-15T15:50:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
