idx,0,LOG_TIME,2023-08-30T04:47:01,2023-08-29T23:47:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,1,LOG_TIME,2023-08-30T04:47:02,2023-08-29T23:47:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,2,LOG_TIME,2023-08-30T04:47:03,2023-08-29T23:47:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,3,LOG_TIME,2023-08-30T04:47:04,2023-08-29T23:47:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,4,LOG_TIME,2023-08-30T04:47:05,2023-08-29T23:47:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,5,LOG_TIME,2023-08-30T04:47:06,2023-08-29T23:47:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,6,LOG_TIME,2023-08-30T04:47:07,2023-08-29T23:47:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,7,LOG_TIME,2023-08-30T04:47:08,2023-08-29T23:47:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,837Mi,10%,
kind-worker,45m,0%,392Mi,4%,
kind-worker2,68m,0%,315Mi,3%,
kind-worker3,45m,0%,263Mi,3%,
idx,8,LOG_TIME,2023-08-30T04:47:09,2023-08-29T23:47:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,9,LOG_TIME,2023-08-30T04:47:10,2023-08-29T23:47:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,10,LOG_TIME,2023-08-30T04:47:11,2023-08-29T23:47:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,11,LOG_TIME,2023-08-30T04:47:12,2023-08-29T23:47:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,12,LOG_TIME,2023-08-30T04:47:13,2023-08-29T23:47:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,13,LOG_TIME,2023-08-30T04:47:14,2023-08-29T23:47:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,14,LOG_TIME,2023-08-30T04:47:15,2023-08-29T23:47:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,15,LOG_TIME,2023-08-30T04:47:16,2023-08-29T23:47:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,16,LOG_TIME,2023-08-30T04:47:17,2023-08-29T23:47:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,17,LOG_TIME,2023-08-30T04:47:19,2023-08-29T23:47:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,822m,10%,841Mi,10%,
kind-worker,46m,0%,392Mi,4%,
kind-worker2,65m,0%,317Mi,3%,
kind-worker3,49m,0%,264Mi,3%,
idx,18,LOG_TIME,2023-08-30T04:47:20,2023-08-29T23:47:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
kind-worker,42m,0%,392Mi,4%,
kind-worker2,57m,0%,317Mi,3%,
kind-worker3,341m,4%,282Mi,3%,
idx,19,LOG_TIME,2023-08-30T04:47:21,2023-08-29T23:47:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
kind-worker,42m,0%,392Mi,4%,
kind-worker2,57m,0%,317Mi,3%,
kind-worker3,341m,4%,282Mi,3%,
idx,20,LOG_TIME,2023-08-30T04:47:22,2023-08-29T23:47:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
kind-worker,42m,0%,392Mi,4%,
kind-worker2,57m,0%,317Mi,3%,
kind-worker3,341m,4%,282Mi,3%,
idx,21,LOG_TIME,2023-08-30T04:47:23,2023-08-29T23:47:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
kind-worker,42m,0%,392Mi,4%,
kind-worker2,57m,0%,317Mi,3%,
kind-worker3,341m,4%,282Mi,3%,
idx,22,LOG_TIME,2023-08-30T04:47:24,2023-08-29T23:47:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
kind-worker,42m,0%,392Mi,4%,
kind-worker2,57m,0%,317Mi,3%,
kind-worker3,341m,4%,282Mi,3%,
idx,23,LOG_TIME,2023-08-30T04:47:25,2023-08-29T23:47:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
kind-worker,42m,0%,392Mi,4%,
kind-worker2,57m,0%,317Mi,3%,
kind-worker3,341m,4%,282Mi,3%,
idx,24,LOG_TIME,2023-08-30T04:47:26,2023-08-29T23:47:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1514m,18%,838Mi,10%,
