idx,0,LOG_TIME,2023-09-20T05:08:18,2023-09-20T00:08:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,1,LOG_TIME,2023-09-20T05:08:19,2023-09-20T00:08:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,2,LOG_TIME,2023-09-20T05:08:20,2023-09-20T00:08:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,3,LOG_TIME,2023-09-20T05:08:21,2023-09-20T00:08:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,4,LOG_TIME,2023-09-20T05:08:22,2023-09-20T00:08:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,494m,6%,666Mi,8%,
kind-worker,91m,1%,188Mi,2%,
kind-worker2,63m,0%,163Mi,2%,
idx,5,LOG_TIME,2023-09-20T05:08:23,2023-09-20T00:08:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,6,LOG_TIME,2023-09-20T05:08:25,2023-09-20T00:08:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
idx,7,LOG_TIME,2023-09-20T05:08:26,2023-09-20T00:08:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,520m,6%,662Mi,8%,
kind-worker,52m,0%,187Mi,2%,
kind-worker2,38m,0%,164Mi,2%,
