command,keyword,start_cdt,start_utc,end_cdt,end_utc
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-08-18T15:43:06,2023-08-18T20:43:06,2023-08-18T15:43:06,2023-08-18T20:43:06
kubectl label nodes kind-worker*,label node,2023-08-18T15:43:16,2023-08-18T20:43:16,2023-08-18T15:43:17,2023-08-18T20:43:17
kustomize build 'github.com/kubernetes-sigs/descheduler/kubernetes/deployment?ref=v0.26.0' | kubectl apply -f -,install descheduler deployment,2023-08-18T15:43:19,2023-08-18T20:43:19,2023-08-18T15:43:24,2023-08-18T20:43:24
kubectl apply -f descheduler-configmap.yaml,update descheduler configmap,2023-08-18T15:43:34,2023-08-18T20:43:34,2023-08-18T15:43:35,2023-08-18T20:43:35
kubectl apply -f descheduler-deployment.yaml,update descheduler deployment config,2023-08-18T15:43:45,2023-08-18T20:43:45,kubectl apply -f deploy.yaml,apply nginx deployment,2023-08-18T15:43:45,2023-08-18T20:43:45,2023-08-18T15:43:46,2023-08-18T20:43:46
pkill -f python3 logging_start.py,stop logging_start.py,2023-08-18T15:45:46,2023-08-18T20:45:46,2023-08-18T15:45:46,2023-08-18T20:45:46
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-08-18T15:45:51,2023-08-18T20:45:51,2023-08-18T15:46:01,2023-08-18T20:46:01
kubectl delete deploy/nginx-deployment,delete nginx deployment,2023-08-18T15:46:06,2023-08-18T20:46:06,2023-08-18T15:46:06,2023-08-18T20:46:06
kubectl delete deploy/descheduler -n kube-system,delete descheduler deployment,2023-08-18T15:46:26,2023-08-18T20:46:26,2023-08-18T15:46:26,2023-08-18T20:46:26
kubectl label --overwrite nodes kind-worker*,remove node label,2023-08-18T15:46:36,2023-08-18T20:46:36,2023-08-18T15:46:37,2023-08-18T20:46:37
