NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,3m54s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m50s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m24s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m23s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,3m55s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m51s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m25s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m24s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,3m56s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m52s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m26s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m25s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,3m57s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m53s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m27s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m26s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,3m58s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m54s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m28s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m27s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,3m59s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m55s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m29s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m28s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m1s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m57s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m31s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m30s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m2s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m58s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m32s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m31s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m3s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,3m59s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m33s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m32s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m4s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m34s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m33s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m5s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m1s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m35s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m34s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m6s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m2s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m36s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m35s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m7s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m3s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m37s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m36s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m8s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m4s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m38s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m37s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m10s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m6s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m40s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m39s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m11s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m7s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m41s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m40s
NAME,READY,STATUS,RESTARTS,AGE
nginx-deployment-7c4cdc74b5-rjjj2,1/1,Running,0,4m12s
nginx-deployment-7c4cdc74b5-rv5gm,1/1,Running,0,4m8s
nginx-deployment-7c4cdc74b5-smswq,1/1,Running,0,2m42s
nginx-deployment-7c4cdc74b5-zmnf9,1/1,Running,0,2m41s
NAME,READY,STATUS,RESTARTS,AGE
