idx,0,LOG_TIME,2023-05-12T05:22:40,2023-05-12T00:22:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,425m,5%,1367Mi,17%,
kind-worker,48m,0%,369Mi,4%,
kind-worker2,59m,0%,404Mi,5%,
kind-worker3,56m,0%,365Mi,4%,
idx,1,LOG_TIME,2023-05-12T05:22:41,2023-05-12T00:22:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,425m,5%,1367Mi,17%,
kind-worker,48m,0%,369Mi,4%,
kind-worker2,59m,0%,404Mi,5%,
kind-worker3,56m,0%,365Mi,4%,
idx,2,LOG_TIME,2023-05-12T05:22:42,2023-05-12T00:22:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,3,LOG_TIME,2023-05-12T05:22:43,2023-05-12T00:22:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,4,LOG_TIME,2023-05-12T05:22:44,2023-05-12T00:22:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,5,LOG_TIME,2023-05-12T00:22:45,2023-05-12T00:22:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,6,LOG_TIME,2023-05-12T05:22:46,2023-05-12T00:22:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,7,LOG_TIME,2023-05-12T05:22:47,2023-05-12T00:22:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,8,LOG_TIME,2023-05-12T00:22:48,2023-05-12T00:22:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,9,LOG_TIME,2023-05-12T05:22:49,2023-05-12T00:22:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,10,LOG_TIME,2023-05-12T05:22:50,2023-05-12T00:22:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,455m,5%,1375Mi,17%,
kind-worker,96m,1%,353Mi,4%,
kind-worker2,54m,0%,407Mi,5%,
kind-worker3,265m,3%,385Mi,4%,
idx,11,LOG_TIME,2023-05-12T05:22:52,2023-05-12T00:22:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1051m,13%,1387Mi,17%,
kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,12,LOG_TIME,2023-05-12T05:22:53,2023-05-12T00:22:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1051m,13%,1387Mi,17%,
kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,13,LOG_TIME,2023-05-12T05:22:54,2023-05-12T05:22:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1051m,13%,1387Mi,17%,
kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,14,LOG_TIME,2023-05-12T05:22:55,2023-05-12T00:22:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1051m,13%,1387Mi,17%,
kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,15,LOG_TIME,2023-05-12T05:22:56,2023-05-12T00:22:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1051m,13%,1387Mi,17%,
kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,16,LOG_TIME,2023-05-12T05:22:57,2023-05-12T00:22:57
