idx,0,LOG_TIME,2024-01-13T22:49:38,2024-01-13T16:49:38,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,14s
idx,1,LOG_TIME,2024-01-13T22:49:39,2024-01-13T16:49:39,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,15s
idx,2,LOG_TIME,2024-01-13T22:49:40,2024-01-13T16:49:40,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,16s
idx,3,LOG_TIME,2024-01-13T22:49:41,2024-01-13T16:49:41,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,17s
idx,4,LOG_TIME,2024-01-13T22:49:42,2024-01-13T16:49:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,19s
idx,5,LOG_TIME,2024-01-13T22:49:43,2024-01-13T16:49:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,19s
idx,6,LOG_TIME,2024-01-13T22:49:44,2024-01-13T16:49:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,20s
idx,7,LOG_TIME,2024-01-13T22:49:45,2024-01-13T16:49:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,21s
idx,8,LOG_TIME,2024-01-13T22:49:46,2024-01-13T16:49:46,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,22s
idx,9,LOG_TIME,2024-01-13T22:49:47,2024-01-13T16:49:47,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,23s
idx,10,LOG_TIME,2024-01-13T22:49:48,2024-01-13T16:49:48,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,24s
idx,11,LOG_TIME,2024-01-13T22:49:49,2024-01-13T16:49:49,-,-
