idx,0,LOG_TIME,2024-01-13T22:49:38,2024-01-13T16:49:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,1,LOG_TIME,2024-01-13T22:49:39,2024-01-13T16:49:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,2,LOG_TIME,2024-01-13T22:49:40,2024-01-13T16:49:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,3,LOG_TIME,2024-01-13T22:49:41,2024-01-13T16:49:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,4,LOG_TIME,2024-01-13T22:49:42,2024-01-13T16:49:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,5,LOG_TIME,2024-01-13T22:49:43,2024-01-13T16:49:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,6,LOG_TIME,2024-01-13T22:49:44,2024-01-13T16:49:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,303m,3%,728Mi,9%,
kind-worker,54m,0%,273Mi,3%,
kind-worker2,174m,2%,279Mi,3%,
idx,7,LOG_TIME,2024-01-13T22:49:45,2024-01-13T16:49:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,8,LOG_TIME,2024-01-13T22:49:46,2024-01-13T16:49:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,9,LOG_TIME,2024-01-13T22:49:47,2024-01-13T16:49:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,10,LOG_TIME,2024-01-13T22:49:48,2024-01-13T16:49:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,11,LOG_TIME,2024-01-13T22:49:49,2024-01-13T16:49:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,12,LOG_TIME,2024-01-13T22:49:50,2024-01-13T16:49:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,13,LOG_TIME,2024-01-13T22:49:51,2024-01-13T16:49:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,14,LOG_TIME,2024-01-13T22:49:52,2024-01-13T16:49:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,15,LOG_TIME,2024-01-13T22:49:53,2024-01-13T16:49:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,16,LOG_TIME,2024-01-13T22:49:54,2024-01-13T16:49:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,300m,3%,723Mi,9%,
kind-worker,53m,0%,270Mi,3%,
kind-worker2,143m,1%,278Mi,3%,
idx,17,LOG_TIME,2024-01-13T22:49:55,2024-01-13T16:49:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,18,LOG_TIME,2024-01-13T22:49:56,2024-01-13T16:49:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,19,LOG_TIME,2024-01-13T22:49:57,2024-01-13T16:49:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,20,LOG_TIME,2024-01-13T22:49:58,2024-01-13T16:49:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,21,LOG_TIME,2024-01-13T22:49:59,2024-01-13T16:49:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,22,LOG_TIME,2024-01-13T22:50:00,2024-01-13T16:50:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,23,LOG_TIME,2024-01-13T22:50:01,2024-01-13T16:50:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,24,LOG_TIME,2024-01-13T22:50:03,2024-01-13T16:50:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,25,LOG_TIME,2024-01-13T22:50:04,2024-01-13T16:50:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,739Mi,9%,
kind-worker,48m,0%,272Mi,3%,
kind-worker2,134m,1%,279Mi,3%,
idx,26,LOG_TIME,2024-01-13T22:50:05,2024-01-13T16:50:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,27,LOG_TIME,2024-01-13T22:50:06,2024-01-13T16:50:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,28,LOG_TIME,2024-01-13T22:50:07,2024-01-13T16:50:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,29,LOG_TIME,2024-01-13T22:50:08,2024-01-13T16:50:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,30,LOG_TIME,2024-01-13T22:50:09,2024-01-13T16:50:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,31,LOG_TIME,2024-01-13T22:50:10,2024-01-13T16:50:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,32,LOG_TIME,2024-01-13T22:50:11,2024-01-13T16:50:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,33,LOG_TIME,2024-01-13T22:50:12,2024-01-13T16:50:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,34,LOG_TIME,2024-01-13T22:50:13,2024-01-13T16:50:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,35,LOG_TIME,2024-01-13T22:50:14,2024-01-13T16:50:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1132m,14%,743Mi,9%,
kind-worker,46m,0%,272Mi,3%,
kind-worker2,136m,1%,279Mi,3%,
idx,36,LOG_TIME,2024-01-13T22:50:15,2024-01-13T16:50:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1044m,13%,743Mi,9%,
kind-worker,134m,1%,285Mi,3%,
kind-worker2,164m,2%,286Mi,3%,
