idx,0,LOG_TIME,2023-05-14T19:14:30,2023-05-14T14:14:30
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,15s
idx,1,LOG_TIME,2023-05-14T19:14:31,2023-05-14T14:14:31
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,15s
idx,2,LOG_TIME,2023-05-14T19:14:32,2023-05-14T14:14:32
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,17s
idx,3,LOG_TIME,2023-05-14T19:14:33,2023-05-14T14:14:33
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,18s
idx,4,LOG_TIME,2023-05-14T19:14:34,2023-05-14T14:14:34
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,19s
idx,5,LOG_TIME,2023-05-14T19:14:35,2023-05-14T14:14:35
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,20s
idx,6,LOG_TIME,2023-05-14T14:14:36,2023-05-14T14:14:36
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,21s
idx,7,LOG_TIME,2023-05-14T19:14:37,2023-05-14T14:14:37
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,22s
idx,8,LOG_TIME,2023-05-14T14:14:38,2023-05-14T14:14:39
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,23s
idx,9,LOG_TIME,2023-05-14T19:14:39,2023-05-14T14:14:40
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,24s
idx,10,LOG_TIME,2023-05-14T14:14:40,2023-05-14T14:14:41
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,25s
idx,11,LOG_TIME,2023-05-14T19:14:41,2023-05-14T14:14:42
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,26s
idx,12,LOG_TIME,2023-05-14T19:14:42,2023-05-14T14:14:43
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,27s
idx,13,LOG_TIME,2023-05-14T19:14:44,2023-05-14T14:14:44
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,28s
idx,14,LOG_TIME,2023-05-14T19:14:45,2023-05-14T14:14:45
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,29s
idx,15,LOG_TIME,2023-05-14T19:14:46,2023-05-14T14:14:46
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,30s
