idx,0,LOG_TIME,2023-05-14T14:14:30,2023-05-14T14:14:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,354m,4%,840Mi,10%,
kind-worker,154m,1%,300Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,44m,0%,274Mi,3%,
idx,1,LOG_TIME,2023-05-14T14:14:31,2023-05-14T14:14:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,354m,4%,840Mi,10%,
kind-worker,154m,1%,300Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,44m,0%,274Mi,3%,
idx,2,LOG_TIME,2023-05-14T19:14:32,2023-05-14T14:14:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,354m,4%,840Mi,10%,
kind-worker,154m,1%,300Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,44m,0%,274Mi,3%,
idx,3,LOG_TIME,2023-05-14T14:14:33,2023-05-14T14:14:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,354m,4%,840Mi,10%,
kind-worker,154m,1%,300Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,44m,0%,274Mi,3%,
idx,4,LOG_TIME,2023-05-14T14:14:34,2023-05-14T14:14:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,5,LOG_TIME,2023-05-14T14:14:35,2023-05-14T14:14:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,6,LOG_TIME,2023-05-14T19:14:36,2023-05-14T14:14:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,7,LOG_TIME,2023-05-14T19:14:37,2023-05-14T14:14:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,8,LOG_TIME,2023-05-14T19:14:38,2023-05-14T14:14:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,9,LOG_TIME,2023-05-14T19:14:39,2023-05-14T14:14:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,10,LOG_TIME,2023-05-14T19:14:40,2023-05-14T14:14:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,11,LOG_TIME,2023-05-14T19:14:41,2023-05-14T14:14:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,12,LOG_TIME,2023-05-14T19:14:42,2023-05-14T14:14:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,13,LOG_TIME,2023-05-14T14:14:43,2023-05-14T14:14:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,840Mi,10%,
kind-worker,142m,1%,302Mi,3%,
kind-worker2,56m,0%,297Mi,3%,
kind-worker3,41m,0%,273Mi,3%,
idx,14,LOG_TIME,2023-05-14T19:14:45,2023-05-14T14:14:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,15,LOG_TIME,2023-05-14T19:14:46,2023-05-14T14:14:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,16,LOG_TIME,2023-05-14T19:14:47,2023-05-14T14:14:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,17,LOG_TIME,2023-05-14T19:14:48,2023-05-14T14:14:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,18,LOG_TIME,2023-05-14T19:14:49,2023-05-14T14:14:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,19,LOG_TIME,2023-05-14T19:14:50,2023-05-14T14:14:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,20,LOG_TIME,2023-05-14T19:14:51,2023-05-14T14:14:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,21,LOG_TIME,2023-05-14T19:14:52,2023-05-14T14:14:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,22,LOG_TIME,2023-05-14T19:14:53,2023-05-14T14:14:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,23,LOG_TIME,2023-05-14T19:14:54,2023-05-14T14:14:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,412m,5%,837Mi,10%,
kind-worker,145m,1%,301Mi,3%,
kind-worker2,56m,0%,298Mi,3%,
kind-worker3,40m,0%,275Mi,3%,
idx,24,LOG_TIME,2023-05-14T19:14:55,2023-05-14T14:14:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,399m,4%,841Mi,10%,
kind-worker,141m,1%,301Mi,3%,
kind-worker2,62m,0%,299Mi,3%,
kind-worker3,89m,1%,285Mi,3%,
idx,25,LOG_TIME,2023-05-14T19:14:56,2023-05-14T14:14:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,399m,4%,841Mi,10%,
kind-worker,141m,1%,301Mi,3%,
kind-worker2,62m,0%,299Mi,3%,
kind-worker3,89m,1%,285Mi,3%,
idx,26,LOG_TIME,2023-05-14T14:14:57,2023-05-14T14:14:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,399m,4%,841Mi,10%,
kind-worker,141m,1%,301Mi,3%,
kind-worker2,62m,0%,299Mi,3%,
kind-worker3,89m,1%,285Mi,3%,
idx,27,LOG_TIME,2023-05-14T19:14:58,2023-05-14T14:14:58
