idx,0,LOG_TIME,2023-05-15T18:07:39,2023-05-15T13:07:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,312m,3%,811Mi,10%,
kind-worker,168m,2%,283Mi,3%,
kind-worker2,49m,0%,281Mi,3%,
kind-worker3,38m,0%,257Mi,3%,
idx,1,LOG_TIME,2023-05-15T18:07:40,2023-05-15T13:07:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,312m,3%,811Mi,10%,
kind-worker,168m,2%,283Mi,3%,
kind-worker2,49m,0%,281Mi,3%,
kind-worker3,38m,0%,257Mi,3%,
idx,2,LOG_TIME,2023-05-15T18:07:41,2023-05-15T13:07:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,312m,3%,811Mi,10%,
kind-worker,168m,2%,283Mi,3%,
kind-worker2,49m,0%,281Mi,3%,
kind-worker3,38m,0%,257Mi,3%,
idx,3,LOG_TIME,2023-05-15T18:07:42,2023-05-15T13:07:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,312m,3%,811Mi,10%,
kind-worker,168m,2%,283Mi,3%,
kind-worker2,49m,0%,281Mi,3%,
kind-worker3,38m,0%,257Mi,3%,
idx,4,LOG_TIME,2023-05-15T18:07:43,2023-05-15T13:07:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,312m,3%,811Mi,10%,
kind-worker,168m,2%,283Mi,3%,
kind-worker2,49m,0%,281Mi,3%,
kind-worker3,38m,0%,257Mi,3%,
idx,5,LOG_TIME,2023-05-15T18:07:44,2023-05-15T13:07:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,312m,3%,811Mi,10%,
kind-worker,168m,2%,283Mi,3%,
kind-worker2,49m,0%,281Mi,3%,
kind-worker3,38m,0%,257Mi,3%,
idx,6,LOG_TIME,2023-05-15T18:07:45,2023-05-15T13:07:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,666m,8%,815Mi,10%,
