command,keyword,start_cdt,start_utc,end_cdt,end_utc
kubectl label nodes kind-worker zone=A,label node,2023-05-14T14:14:04,2023-05-14T19:14:04,-,-
kubectl label nodes kind-worker2 zone=A,label node,2023-05-14T14:14:04,2023-05-14T19:14:04,-,-
kubectl label nodes kind-worker3 zone=B,label node,2023-05-14T14:14:04,2023-05-14T19:14:04,-,-
kubectl label nodes kind-worker node=1,label node,2023-05-14T14:14:04,2023-05-14T19:14:04,-,-
kubectl label nodes kind-worker2 node=2,label node,2023-05-14T14:14:04,2023-05-14T19:14:04,-,-
kubectl label nodes kind-worker3 node=3,label node,2023-05-14T14:14:04,2023-05-14T19:14:04,2023-05-14T14:14:05,2023-05-14T19:14:05
kubectl apply -f deploy_h1-app.yaml,apply h1-app deployment,2023-05-14T14:14:10,2023-05-14T19:14:10,2023-05-14T14:14:11,2023-05-14T19:14:11
kubectl autoscale deployment h1-app --cpu-percent=50 --min=1 --max=6,deploy autoscaler,2023-05-14T14:14:16,2023-05-14T19:14:16,2023-05-14T14:14:16,2023-05-14T19:14:16
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-05-14T14:14:21,2023-05-14T19:14:21,2023-05-14T14:14:21,2023-05-14T19:14:21
pkill -f "python3 logging_start.py",stop logging_start.py,2023-05-14T14:16:51,2023-05-14T19:16:51,2023-05-14T14:16:51,2023-05-14T19:16:51
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-05-14T14:16:56,2023-05-14T19:16:56,2023-05-14T14:17:07,2023-05-14T19:17:06
kubectl delete pod/load-generator,delete load-generator pod,2023-05-14T14:17:17,2023-05-14T19:17:17,2023-05-14T14:17:17,2023-05-14T19:17:17
kubectl delete deploy/h1-app,delete h1-app deployment,2023-05-14T14:17:18,2023-05-14T19:17:18,2023-05-14T14:17:18,2023-05-14T19:17:18
kubectl delete hpa/h1-app,delete hpa,2023-05-14T14:17:19,2023-05-14T19:17:19,2023-05-14T14:17:19,2023-05-14T19:17:19
kubectl label --overwrite nodes kind-worker zone-,remove node label,2023-05-14T14:17:20,2023-05-14T19:17:20,-,-
kubectl label --overwrite nodes kind-worker2 zone-,remove node label,2023-05-14T14:17:20,2023-05-14T19:17:20,-,-
kubectl label --overwrite nodes kind-worker3 zone-,remove node label,2023-05-14T14:17:20,2023-05-14T19:17:20,-,-
kubectl label --overwrite nodes kind-worker node-,remove node label,2023-05-14T14:17:20,2023-05-14T19:17:20,-,-
kubectl label --overwrite nodes kind-worker2 node-,remove node label,2023-05-14T14:17:20,2023-05-14T19:17:20,-,-
kubectl label --overwrite nodes kind-worker3 node-,remove node label,2023-05-14T14:17:20,2023-05-14T19:17:20,2023-05-14T14:17:21,2023-05-14T19:17:21
