idx,0,LOG_TIME,2023-05-14T02:58:27,2023-05-13T21:58:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,1,LOG_TIME,2023-05-14T02:58:28,2023-05-13T21:58:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,2,LOG_TIME,2023-05-14T02:58:29,2023-05-13T21:58:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,3,LOG_TIME,2023-05-13T21:58:30,2023-05-13T21:58:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,4,LOG_TIME,2023-05-13T21:58:31,2023-05-13T21:58:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,5,LOG_TIME,2023-05-14T02:58:32,2023-05-13T21:58:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,6,LOG_TIME,2023-05-14T02:58:33,2023-05-13T21:58:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,319m,3%,938Mi,11%,
kind-worker,40m,0%,198Mi,2%,
kind-worker2,54m,0%,218Mi,2%,
kind-worker3,54m,0%,207Mi,2%,
idx,7,LOG_TIME,2023-05-14T02:58:34,2023-05-13T21:58:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,8,LOG_TIME,2023-05-14T02:58:35,2023-05-13T21:58:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,9,LOG_TIME,2023-05-14T02:58:36,2023-05-14T02:58:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,10,LOG_TIME,2023-05-13T21:58:37,2023-05-13T21:58:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,11,LOG_TIME,2023-05-13T21:58:38,2023-05-13T21:58:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,12,LOG_TIME,2023-05-14T02:58:39,2023-05-13T21:58:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,13,LOG_TIME,2023-05-14T02:58:40,2023-05-13T21:58:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,14,LOG_TIME,2023-05-14T02:58:41,2023-05-13T21:58:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,15,LOG_TIME,2023-05-14T02:58:42,2023-05-14T02:58:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,16,LOG_TIME,2023-05-14T02:58:43,2023-05-14T02:58:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,422m,5%,937Mi,11%,
kind-worker,63m,0%,198Mi,2%,
kind-worker2,52m,0%,217Mi,2%,
kind-worker3,209m,2%,210Mi,2%,
idx,17,LOG_TIME,2023-05-14T02:58:44,2023-05-13T21:58:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,18,LOG_TIME,2023-05-14T02:58:45,2023-05-13T21:58:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,19,LOG_TIME,2023-05-13T21:58:47,2023-05-13T21:58:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,20,LOG_TIME,2023-05-14T02:58:47,2023-05-13T21:58:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,21,LOG_TIME,2023-05-14T02:58:49,2023-05-13T21:58:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,22,LOG_TIME,2023-05-14T02:58:50,2023-05-13T21:58:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,23,LOG_TIME,2023-05-14T02:58:51,2023-05-13T21:58:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
