idx,0,LOG_TIME,2023-05-15T17:49:28,2023-05-15T12:49:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,1,LOG_TIME,2023-05-15T17:49:29,2023-05-15T12:49:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,2,LOG_TIME,2023-05-15T17:49:30,2023-05-15T12:49:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,3,LOG_TIME,2023-05-15T17:49:31,2023-05-15T12:49:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,4,LOG_TIME,2023-05-15T17:49:32,2023-05-15T12:49:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,5,LOG_TIME,2023-05-15T17:49:33,2023-05-15T12:49:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,6,LOG_TIME,2023-05-15T17:49:34,2023-05-15T12:49:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,353m,4%,864Mi,10%,
kind-worker,43m,0%,264Mi,3%,
kind-worker2,52m,0%,283Mi,3%,
kind-worker3,180m,2%,282Mi,3%,
idx,7,LOG_TIME,2023-05-15T17:49:35,2023-05-15T12:49:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,8,LOG_TIME,2023-05-15T17:49:36,2023-05-15T12:49:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,9,LOG_TIME,2023-05-15T17:49:37,2023-05-15T12:49:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,10,LOG_TIME,2023-05-15T17:49:38,2023-05-15T12:49:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,11,LOG_TIME,2023-05-15T17:49:39,2023-05-15T12:49:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,12,LOG_TIME,2023-05-15T17:49:40,2023-05-15T12:49:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,13,LOG_TIME,2023-05-15T17:49:41,2023-05-15T12:49:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,14,LOG_TIME,2023-05-15T17:49:42,2023-05-15T12:49:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,15,LOG_TIME,2023-05-15T17:49:43,2023-05-15T12:49:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,16,LOG_TIME,2023-05-15T17:49:44,2023-05-15T12:49:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,316m,3%,866Mi,10%,
kind-worker,43m,0%,262Mi,3%,
kind-worker2,55m,0%,282Mi,3%,
kind-worker3,143m,1%,281Mi,3%,
idx,17,LOG_TIME,2023-05-15T17:49:45,2023-05-15T12:49:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,18,LOG_TIME,2023-05-15T17:49:46,2023-05-15T12:49:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,19,LOG_TIME,2023-05-15T17:49:47,2023-05-15T12:49:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,20,LOG_TIME,2023-05-15T17:49:48,2023-05-15T12:49:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,21,LOG_TIME,2023-05-15T17:49:49,2023-05-15T12:49:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,22,LOG_TIME,2023-05-15T17:49:50,2023-05-15T12:49:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,23,LOG_TIME,2023-05-15T17:49:51,2023-05-15T12:49:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,24,LOG_TIME,2023-05-15T17:49:52,2023-05-15T12:49:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,25,LOG_TIME,2023-05-15T17:49:53,2023-05-15T12:49:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,881m,11%,860Mi,10%,
kind-worker,32m,0%,264Mi,3%,
kind-worker2,42m,0%,283Mi,3%,
kind-worker3,133m,1%,282Mi,3%,
idx,26,LOG_TIME,2023-05-15T17:49:54,2023-05-15T12:49:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,27,LOG_TIME,2023-05-15T17:49:55,2023-05-15T12:49:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,28,LOG_TIME,2023-05-15T17:49:56,2023-05-15T12:49:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,29,LOG_TIME,2023-05-15T17:49:57,2023-05-15T12:49:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,30,LOG_TIME,2023-05-15T17:49:58,2023-05-15T12:49:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,31,LOG_TIME,2023-05-15T17:49:59,2023-05-15T12:49:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,32,LOG_TIME,2023-05-15T17:50:00,2023-05-15T12:50:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,33,LOG_TIME,2023-05-15T17:50:01,2023-05-15T12:50:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,34,LOG_TIME,2023-05-15T17:50:02,2023-05-15T12:50:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,35,LOG_TIME,2023-05-15T17:50:03,2023-05-15T12:50:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,36,LOG_TIME,2023-05-15T17:50:05,2023-05-15T12:50:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,37,LOG_TIME,2023-05-15T17:50:06,2023-05-15T12:50:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,38,LOG_TIME,2023-05-15T17:50:07,2023-05-15T12:50:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
