idx,0,LOG_TIME,2023-05-15T17:49:28,2023-05-15T12:49:28
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,0,14s
idx,1,LOG_TIME,2023-05-15T17:49:29,2023-05-15T12:49:29
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,15s
idx,2,LOG_TIME,2023-05-15T17:49:30,2023-05-15T12:49:30
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,16s
idx,3,LOG_TIME,2023-05-15T17:49:31,2023-05-15T12:49:31
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,17s
idx,4,LOG_TIME,2023-05-15T17:49:32,2023-05-15T12:49:32
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,18s
idx,5,LOG_TIME,2023-05-15T17:49:33,2023-05-15T12:49:33
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,19s
idx,6,LOG_TIME,2023-05-15T17:49:34,2023-05-15T12:49:34
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,20s
idx,7,LOG_TIME,2023-05-15T17:49:35,2023-05-15T12:49:35
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,21s
idx,8,LOG_TIME,2023-05-15T17:49:36,2023-05-15T12:49:36
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,22s
idx,9,LOG_TIME,2023-05-15T17:49:37,2023-05-15T12:49:37
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,23s
idx,10,LOG_TIME,2023-05-15T17:49:38,2023-05-15T12:49:38
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
h1-app,Deployment/h1-app,<unknown>/50%,1,6,1,24s
idx,11,LOG_TIME,2023-05-15T17:49:39,2023-05-15T12:49:39
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
