idx,0,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,372m,4%,1344Mi,16%,
kind-worker,41m,0%,355Mi,4%,
kind-worker2,53m,0%,276Mi,3%,
kind-worker3,37m,0%,263Mi,3%,
idx,1,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,2,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,3,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,4,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,5,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,6,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,7,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,8,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,9,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,10,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,11,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,12,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,13,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,357m,4%,1345Mi,16%,
kind-worker,36m,0%,356Mi,4%,
kind-worker2,50m,0%,275Mi,3%,
kind-worker3,35m,0%,263Mi,3%,
idx,14,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
