idx,0,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,1,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,2,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,3,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,4,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,5,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,6,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,7,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,419m,5%,1353Mi,16%,
kind-worker,44m,0%,316Mi,3%,
kind-worker2,58m,0%,370Mi,4%,
kind-worker3,44m,0%,309Mi,3%,
idx,8,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,440m,5%,1359Mi,17%,
kind-worker,36m,0%,316Mi,3%,
kind-worker2,69m,0%,369Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,9,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,440m,5%,1359Mi,17%,
kind-worker,36m,0%,316Mi,3%,
kind-worker2,69m,0%,369Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,10,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,440m,5%,1359Mi,17%,
kind-worker,36m,0%,316Mi,3%,
kind-worker2,69m,0%,369Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,11,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,440m,5%,1359Mi,17%,
kind-worker,36m,0%,316Mi,3%,
kind-worker2,69m,0%,369Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,12,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
