NAMESPACE     LAST SEEN   TYPE     REASON               OBJECT                                 MESSAGE
default       14m         Normal   NodeNotSchedulable   node/kind-worker3                      Node kind-worker3 status is now: NodeNotSchedulable
default       13m         Normal   NodeSchedulable      node/kind-worker3                      Node kind-worker3 status is now: NodeSchedulable
default       24m         Normal   Killing              pod/php-apache-698db99f59-x7zxn        Stopping container php-apache
default       14m         Normal   NodeSchedulable      node/kind-worker                       Node kind-worker status is now: NodeSchedulable
default       16m         Normal   Scheduled            pod/php-apache-7654df5976-wn7pb        Successfully assigned default/php-apache-7654df5976-wn7pb to kind-worker3
default       16m         Normal   ScalingReplicaSet    deployment/php-apache                  Scaled up replica set php-apache-7654df5976 to 3
default       16m         Normal   Scheduled            pod/php-apache-7654df5976-gfnqz        Successfully assigned default/php-apache-7654df5976-gfnqz to kind-worker
default       16m         Normal   SuccessfulCreate     replicaset/php-apache-7654df5976       Created pod: php-apache-7654df5976-wn7pb
default       16m         Normal   SuccessfulCreate     replicaset/php-apache-7654df5976       Created pod: php-apache-7654df5976-lctzd
default       16m         Normal   SuccessfulCreate     replicaset/php-apache-7654df5976       Created pod: php-apache-7654df5976-gfnqz
default       16m         Normal   Scheduled            pod/php-apache-7654df5976-lctzd        Successfully assigned default/php-apache-7654df5976-lctzd to kind-worker2
default       16m         Normal   Pulling              pod/php-apache-7654df5976-lctzd        Pulling image "registry.k8s.io/hpa-example"
default       16m         Normal   Pulling              pod/php-apache-7654df5976-gfnqz        Pulling image "registry.k8s.io/hpa-example"
default       16m         Normal   Pulling              pod/php-apache-7654df5976-wn7pb        Pulling image "registry.k8s.io/hpa-example"
default       16m         Normal   Pulled               pod/php-apache-7654df5976-lctzd        Successfully pulled image "registry.k8s.io/hpa-example" in 1.231636391s
default       16m         Normal   Pulled               pod/php-apache-7654df5976-wn7pb        Successfully pulled image "registry.k8s.io/hpa-example" in 1.191805173s
default       16m         Normal   Created              pod/php-apache-7654df5976-wn7pb        Created container php-apache
default       16m         Normal   Started              pod/php-apache-7654df5976-lctzd        Started container php-apache
default       16m         Normal   Created              pod/php-apache-7654df5976-lctzd        Created container php-apache
default       16m         Normal   Started              pod/php-apache-7654df5976-wn7pb        Started container php-apache
default       16m         Normal   Pulled               pod/php-apache-7654df5976-gfnqz        Successfully pulled image "registry.k8s.io/hpa-example" in 1.269285682s
default       16m         Normal   Created              pod/php-apache-7654df5976-gfnqz        Created container php-apache
default       16m         Normal   Started              pod/php-apache-7654df5976-gfnqz        Started container php-apache
default       15m         Normal   Killing              pod/php-apache-7654df5976-gfnqz        Stopping container php-apache
default       15m         Normal   SuccessfulCreate     replicaset/php-apache-7654df5976       Created pod: php-apache-7654df5976-dt4l9
default       15m         Normal   Scheduled            pod/php-apache-7654df5976-dt4l9        Successfully assigned default/php-apache-7654df5976-dt4l9 to kind-worker3
default       15m         Normal   Pulled               pod/php-apache-7654df5976-dt4l9        Successfully pulled image "registry.k8s.io/hpa-example" in 626.282502ms
default       15m         Normal   Pulling              pod/php-apache-7654df5976-dt4l9        Pulling image "registry.k8s.io/hpa-example"
default       15m         Normal   Created              pod/php-apache-7654df5976-dt4l9        Created container php-apache
default       15m         Normal   Started              pod/php-apache-7654df5976-dt4l9        Started container php-apache
default       15m         Normal   NodeNotSchedulable   node/kind-worker                       Node kind-worker status is now: NodeNotSchedulable
default       14m         Normal   Scheduled            pod/php-apache-7654df5976-fbhdf        Successfully assigned default/php-apache-7654df5976-fbhdf to kind-worker
kube-system   14m         Normal   SuccessfulCreate     replicaset/metrics-server-5744bdc4f4   Created pod: metrics-server-5744bdc4f4-l2q9h
kube-system   14m         Normal   Scheduled            pod/metrics-server-5744bdc4f4-l2q9h    Successfully assigned kube-system/metrics-server-5744bdc4f4-l2q9h to kind-worker
kube-system   14m         Normal   Killing              pod/metrics-server-5744bdc4f4-kg8rc    Stopping container metrics-server
default       14m         Normal   NodeNotSchedulable   node/kind-worker2                      Node kind-worker2 status is now: NodeNotSchedulable
default       14m         Normal   SuccessfulCreate     replicaset/php-apache-7654df5976       Created pod: php-apache-7654df5976-fbhdf
default       14m         Normal   Killing              pod/php-apache-7654df5976-lctzd        Stopping container php-apache
default       14m         Normal   Pulling              pod/php-apache-7654df5976-fbhdf        Pulling image "registry.k8s.io/hpa-example"
default       14m         Normal   Pulled               pod/php-apache-7654df5976-fbhdf        Successfully pulled image "registry.k8s.io/hpa-example" in 824.18139ms
kube-system   14m         Normal   Pulling              pod/metrics-server-5744bdc4f4-l2q9h    Pulling image "registry.k8s.io/metrics-server/metrics-server:v0.6.3"
default       14m         Normal   Started              pod/php-apache-7654df5976-fbhdf        Started container php-apache
default       14m         Normal   Created              pod/php-apache-7654df5976-fbhdf        Created container php-apache
kube-system   14m         Normal   Pulled               pod/metrics-server-5744bdc4f4-l2q9h    Successfully pulled image "registry.k8s.io/metrics-server/metrics-server:v0.6.3" in 9.110460862s
kube-system   14m         Normal   Started              pod/metrics-server-5744bdc4f4-l2q9h    Started container metrics-server
kube-system   14m         Normal   Created              pod/metrics-server-5744bdc4f4-l2q9h    Created container metrics-server
default       14m         Normal   NodeSchedulable      node/kind-worker2                      Node kind-worker2 status is now: NodeSchedulable
