idx,0,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1325Mi,16%,
kind-worker,53m,0%,385Mi,4%,
kind-worker2,91m,1%,239Mi,3%,
kind-worker3,45m,0%,269Mi,3%,
idx,1,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1325Mi,16%,
kind-worker,53m,0%,385Mi,4%,
kind-worker2,91m,1%,239Mi,3%,
kind-worker3,45m,0%,269Mi,3%,
idx,2,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1325Mi,16%,
kind-worker,53m,0%,385Mi,4%,
kind-worker2,91m,1%,239Mi,3%,
kind-worker3,45m,0%,269Mi,3%,
idx,3,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1325Mi,16%,
kind-worker,53m,0%,385Mi,4%,
kind-worker2,91m,1%,239Mi,3%,
kind-worker3,45m,0%,269Mi,3%,
idx,4,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,475m,5%,1334Mi,16%,
kind-worker,105m,1%,370Mi,4%,
kind-worker2,40m,0%,240Mi,3%,
kind-worker3,90m,1%,253Mi,3%,
idx,5,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,475m,5%,1334Mi,16%,
kind-worker,105m,1%,370Mi,4%,
kind-worker2,40m,0%,240Mi,3%,
kind-worker3,90m,1%,253Mi,3%,
idx,6,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,475m,5%,1334Mi,16%,
kind-worker,105m,1%,370Mi,4%,
kind-worker2,40m,0%,240Mi,3%,
kind-worker3,90m,1%,253Mi,3%,
idx,7,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,475m,5%,1334Mi,16%,
kind-worker,105m,1%,370Mi,4%,
kind-worker2,40m,0%,240Mi,3%,
kind-worker3,90m,1%,253Mi,3%,
idx,8,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,475m,5%,1334Mi,16%,
kind-worker,105m,1%,370Mi,4%,
kind-worker2,40m,0%,240Mi,3%,
kind-worker3,90m,1%,253Mi,3%,
idx,9,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,475m,5%,1334Mi,16%,
kind-worker,105m,1%,370Mi,4%,
kind-worker2,40m,0%,240Mi,3%,
