command,keyword,start_cdt,start_utc,end_cdt,end_utc
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-08-18T16:12:15,2023-08-18T21:12:15,2023-08-18T16:12:15,2023-08-18T21:12:15
kubectl label nodes kind-worker*,label node,2023-08-18T16:12:21,2023-08-18T21:12:21,2023-08-18T16:12:21,2023-08-18T21:12:21
kustomize build 'github.com/kubernetes-sigs/descheduler/kubernetes/deployment?ref=v0.26.0' | kubectl apply -f -,install descheduler deployment,2023-08-18T16:12:26,2023-08-18T21:12:26,2023-08-18T16:12:32,2023-08-18T21:12:32
kubectl apply -f descheduler-configmap.yaml,update descheduler configmap,2023-08-18T16:12:42,2023-08-18T21:12:42,2023-08-18T16:12:42,2023-08-18T21:12:42
kubectl apply -f descheduler-deployment.yaml,update descheduler deployment config,2023-08-18T16:12:52,2023-08-18T21:12:52,2023-08-18T16:12:52,2023-08-18T21:12:52
kubectl apply -f deploy.yaml,apply nginx deployment,2023-08-18T16:13:12,2023-08-18T21:13:12,2023-08-18T16:13:13,2023-08-18T21:13:13
pkill -f "python3 logging_start.py",stop logging_start.py,2023-08-18T16:15:13,2023-08-18T21:15:13,2023-08-18T16:15:13,2023-08-18T21:15:13
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-08-18T16:15:18,2023-08-18T21:15:18,2023-08-18T16:15:28,2023-08-18T21:15:28
kubectl delete deploy/nginx-deployment,delete nginx deployment,2023-08-18T16:15:33,2023-08-18T21:15:33,2023-08-18T16:15:33,2023-08-18T21:15:33
kubectl delete deploy/descheduler -n kube-system,delete descheduler deployment,2023-08-18T16:15:53,2023-08-18T21:15:53,2023-08-18T16:15:54,2023-08-18T21:15:54
kubectl label --overwrite nodes kind-worker*,remove node label,2023-08-18T16:16:04,2023-08-18T21:16:04,2023-08-18T16:16:04,2023-08-18T21:16:04
