idx,0,LOG_TIME,2023-05-18T15:18:34,2023-05-18T10:18:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,297m,3%,821Mi,10%,
kind-worker,44m,0%,294Mi,3%,
kind-worker2,59m,0%,314Mi,3%,
kind-worker3,44m,0%,291Mi,3%,
idx,1,LOG_TIME,2023-05-18T15:18:35,2023-05-18T10:18:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,2,LOG_TIME,2023-05-18T15:18:36,2023-05-18T10:18:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,3,LOG_TIME,2023-05-18T15:18:37,2023-05-18T10:18:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,4,LOG_TIME,2023-05-18T15:18:38,2023-05-18T10:18:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,5,LOG_TIME,2023-05-18T15:18:39,2023-05-18T10:18:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,6,LOG_TIME,2023-05-18T15:18:40,2023-05-18T10:18:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,7,LOG_TIME,2023-05-18T15:18:41,2023-05-18T10:18:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
kind-worker2,55m,0%,311Mi,3%,
kind-worker3,45m,0%,290Mi,3%,
idx,8,LOG_TIME,2023-05-18T15:18:42,2023-05-18T10:18:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,301m,3%,823Mi,10%,
kind-worker,44m,0%,293Mi,3%,
