command,keyword,start_cdt,start_utc,end_cdt,end_utc
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-05-18T00:13:32,2023-05-18T05:13:32,2023-05-18T00:13:32,2023-05-18T05:13:32
kubectl apply -f deploy_php.yaml,apply deployment php-apache,2023-05-18T00:13:37,2023-05-18T05:13:37,2023-05-18T00:13:37,2023-05-18T05:13:37
kubectl autoscale deployment php-apache --cpu-percent=50 --min=3 --max=6,deploy autoscaler php-apache,2023-05-18T00:13:42,2023-05-18T05:13:42,2023-05-18T00:13:42,2023-05-18T05:13:42
kubectl run -i load-generator --rm --image=busybox:1.28 --restart=Never -- /bin/sh -c "while sleep 0.0005; do wget -q -O- http://php-apache; done",apply pod load-generator load,2023-05-18T00:14:27,2023-05-18T05:14:27,2023-05-18T00:14:27,2023-05-18T05:14:27
kubectl apply -f deploy_php-2.yaml,apply deployment php-apache,2023-05-18T00:15:57,2023-05-18T05:15:57,2023-05-18T00:15:58,2023-05-18T05:15:58
pkill -f "python3 logging_start.py",stop logging_start.py,2023-05-18T00:16:48,2023-05-18T05:16:48,2023-05-18T00:16:48,2023-05-18T05:16:48
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-05-18T00:16:53,2023-05-18T05:16:53,2023-05-18T00:17:03,2023-05-18T05:17:03
kubectl delete pod/load-generator --grace-period=1,delete pod load-generator,2023-05-18T00:17:08,2023-05-18T05:17:08,2023-05-18T00:17:10,2023-05-18T05:17:10
kubectl delete deploy/php-apache,delete deployment php-apache,2023-05-18T00:17:11,2023-05-18T05:17:11,2023-05-18T00:17:11,2023-05-18T05:17:11
kubectl delete hpa/php-apache,delete hpa php-apache,2023-05-18T00:17:12,2023-05-18T05:17:12,2023-05-18T00:17:13,2023-05-18T05:17:13
