idx,0,LOG_TIME,2023-05-18T05:13:41,2023-05-18T00:13:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,435m,5%,874Mi,10%,
kind-worker,178m,2%,296Mi,3%,
kind-worker2,186m,2%,304Mi,3%,
kind-worker3,57m,0%,291Mi,3%,
idx,1,LOG_TIME,2023-05-18T05:13:42,2023-05-18T00:13:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,435m,5%,874Mi,10%,
kind-worker,178m,2%,296Mi,3%,
kind-worker2,186m,2%,304Mi,3%,
kind-worker3,57m,0%,291Mi,3%,
idx,2,LOG_TIME,2023-05-18T05:13:43,2023-05-18T00:13:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,435m,5%,874Mi,10%,
kind-worker,178m,2%,296Mi,3%,
kind-worker2,186m,2%,304Mi,3%,
kind-worker3,57m,0%,291Mi,3%,
idx,3,LOG_TIME,2023-05-18T05:13:44,2023-05-18T00:13:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,435m,5%,874Mi,10%,
kind-worker,178m,2%,296Mi,3%,
kind-worker2,186m,2%,304Mi,3%,
kind-worker3,57m,0%,291Mi,3%,
idx,4,LOG_TIME,2023-05-18T05:13:45,2023-05-18T00:13:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,5,LOG_TIME,2023-05-18T05:13:46,2023-05-18T00:13:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,6,LOG_TIME,2023-05-18T05:13:47,2023-05-18T00:13:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,7,LOG_TIME,2023-05-18T05:13:48,2023-05-18T00:13:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,8,LOG_TIME,2023-05-18T05:13:49,2023-05-18T00:13:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,9,LOG_TIME,2023-05-18T05:13:50,2023-05-18T00:13:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,10,LOG_TIME,2023-05-18T05:13:51,2023-05-18T00:13:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,11,LOG_TIME,2023-05-18T05:13:52,2023-05-18T00:13:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,12,LOG_TIME,2023-05-18T05:13:53,2023-05-18T00:13:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,13,LOG_TIME,2023-05-18T05:13:54,2023-05-18T00:13:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,333m,4%,871Mi,10%,
kind-worker,97m,1%,300Mi,3%,
kind-worker2,70m,0%,305Mi,3%,
kind-worker3,68m,0%,292Mi,3%,
idx,14,LOG_TIME,2023-05-18T05:13:55,2023-05-18T00:13:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,15,LOG_TIME,2023-05-18T05:13:56,2023-05-18T00:13:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,16,LOG_TIME,2023-05-18T05:13:57,2023-05-18T00:13:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,17,LOG_TIME,2023-05-18T05:13:58,2023-05-18T00:13:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,18,LOG_TIME,2023-05-18T05:13:59,2023-05-18T00:13:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,19,LOG_TIME,2023-05-18T05:14:00,2023-05-18T00:14:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,20,LOG_TIME,2023-05-18T05:14:01,2023-05-18T00:14:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,21,LOG_TIME,2023-05-18T05:14:02,2023-05-18T00:14:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,22,LOG_TIME,2023-05-18T05:14:03,2023-05-18T00:14:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,23,LOG_TIME,2023-05-18T05:14:04,2023-05-18T00:14:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,948m,11%,876Mi,10%,
kind-worker,111m,1%,312Mi,3%,
kind-worker2,62m,0%,306Mi,3%,
kind-worker3,32m,0%,291Mi,3%,
idx,24,LOG_TIME,2023-05-18T05:14:05,2023-05-18T00:14:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,25,LOG_TIME,2023-05-18T05:14:06,2023-05-18T00:14:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,26,LOG_TIME,2023-05-18T05:14:07,2023-05-18T00:14:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,27,LOG_TIME,2023-05-18T05:14:08,2023-05-18T00:14:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,28,LOG_TIME,2023-05-18T05:14:09,2023-05-18T00:14:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,29,LOG_TIME,2023-05-18T05:14:10,2023-05-18T00:14:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,30,LOG_TIME,2023-05-18T05:14:11,2023-05-18T00:14:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,31,LOG_TIME,2023-05-18T05:14:12,2023-05-18T00:14:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,32,LOG_TIME,2023-05-18T05:14:13,2023-05-18T00:14:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1027m,12%,870Mi,10%,
kind-worker,42m,0%,313Mi,3%,
kind-worker2,128m,1%,316Mi,3%,
kind-worker3,154m,1%,306Mi,3%,
idx,33,LOG_TIME,2023-05-18T05:14:14,2023-05-18T00:14:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1045m,13%,873Mi,10%,
kind-worker,57m,0%,311Mi,3%,
kind-worker2,86m,1%,324Mi,4%,
kind-worker3,34m,0%,307Mi,3%,
idx,34,LOG_TIME,2023-05-18T05:14:15,2023-05-18T00:14:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1045m,13%,873Mi,10%,
kind-worker,57m,0%,311Mi,3%,
kind-worker2,86m,1%,324Mi,4%,
kind-worker3,34m,0%,307Mi,3%,
idx,35,LOG_TIME,2023-05-18T05:14:16,2023-05-18T00:14:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1045m,13%,873Mi,10%,
kind-worker,57m,0%,311Mi,3%,
kind-worker2,86m,1%,324Mi,4%,
kind-worker3,34m,0%,307Mi,3%,
