idx,0,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,1,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,2,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,3,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,4,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,5,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,6,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,7,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,8,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,9,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,10,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,11,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,12,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,13,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,14,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,15,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,16,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,17,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,18,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
idx,19,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,20,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,21,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,22,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,23,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,24,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,25,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,26,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,27,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,28,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,2m,3Mi,
idx,29,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,30,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,31,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,32,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,33,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,34,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,35,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,36,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,37,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,38,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,39,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,40,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,41,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,42,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,43,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,44,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,45,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,46,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,47,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,48,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,49,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,50,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,51,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,52,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,53,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,54,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,55,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,56,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
nginx-deployment-66f58bff7c-lxgw6,0m,3Mi,
idx,57,LOG_TIME,2023-05-01T07:02:22,2023-05-01T02:02:22
NAME,CPU(cores),MEMORY(bytes),
