idx,0,LOG_TIME,2023-08-18T21:12:25,2023-08-18T16:12:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,833Mi,10%,
kind-worker,38m,0%,244Mi,3%,
kind-worker2,63m,0%,250Mi,3%,
kind-worker3,39m,0%,250Mi,3%,
idx,1,LOG_TIME,2023-08-18T21:12:26,2023-08-18T16:12:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,833Mi,10%,
kind-worker,38m,0%,244Mi,3%,
kind-worker2,63m,0%,250Mi,3%,
kind-worker3,39m,0%,250Mi,3%,
idx,2,LOG_TIME,2023-08-18T21:12:27,2023-08-18T16:12:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,833Mi,10%,
kind-worker,38m,0%,244Mi,3%,
kind-worker2,63m,0%,250Mi,3%,
kind-worker3,39m,0%,250Mi,3%,
idx,3,LOG_TIME,2023-08-18T21:12:28,2023-08-18T16:12:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,833Mi,10%,
kind-worker,38m,0%,244Mi,3%,
kind-worker2,63m,0%,250Mi,3%,
kind-worker3,39m,0%,250Mi,3%,
idx,4,LOG_TIME,2023-08-18T21:12:29,2023-08-18T16:12:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,325m,4%,832Mi,10%,
kind-worker,59m,0%,245Mi,3%,
kind-worker2,69m,0%,249Mi,3%,
kind-worker3,62m,0%,249Mi,3%,
idx,5,LOG_TIME,2023-08-18T21:12:30,2023-08-18T16:12:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,325m,4%,832Mi,10%,
kind-worker,59m,0%,245Mi,3%,
kind-worker2,69m,0%,249Mi,3%,
kind-worker3,62m,0%,249Mi,3%,
idx,6,LOG_TIME,2023-08-18T21:12:31,2023-08-18T16:12:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,325m,4%,832Mi,10%,
kind-worker,59m,0%,245Mi,3%,
kind-worker2,69m,0%,249Mi,3%,
kind-worker3,62m,0%,249Mi,3%,
idx,7,LOG_TIME,2023-08-18T21:12:32,2023-08-18T16:12:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,325m,4%,832Mi,10%,
kind-worker,59m,0%,245Mi,3%,
kind-worker2,69m,0%,249Mi,3%,
kind-worker3,62m,0%,249Mi,3%,
idx,8,LOG_TIME,2023-08-18T21:12:33,2023-08-18T16:12:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,325m,4%,832Mi,10%,
kind-worker,59m,0%,245Mi,3%,
kind-worker2,69m,0%,249Mi,3%,
kind-worker3,62m,0%,249Mi,3%,
