idx,0,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,1,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,2,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,3,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,4,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,5,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,6,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,7,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,687m,8%,1336Mi,16%,
kind-worker,61m,0%,371Mi,4%,
kind-worker2,47m,0%,254Mi,3%,
kind-worker3,40m,0%,257Mi,3%,
idx,8,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1335Mi,16%,
kind-worker,43m,0%,368Mi,4%,
kind-worker2,37m,0%,255Mi,3%,
kind-worker3,36m,0%,255Mi,3%,
idx,9,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
